Dataset,Reads,Reads_wo_S,Richness,Richness_wo_S,Rarefied.richness,H,J,Rarefied J,Simpson,Chao1,ACE
001,228745,228745,543,543,391.056315076744,3.71890096412311,0.590572717604039,0.623051338362208,0.92932592355588,578.853404531168,590.51724137931
002,249264,249264,633,633,447.156024498811,3.863698300541,0.598979306575393,0.633091399263414,0.931421870380778,665.327326649906,670.657894736842
003,309613,309613,671,671,446.365335350129,3.81495366486182,0.586125208096841,0.625285613686422,0.924555933390636,700.367855750781,702.8
004,312668,312668,649,649,450.294428119112,3.99222788475178,0.616519089829069,0.653402969661568,0.940298911061423,683.86636086947,712.84
005,228525,228525,560,560,410.5347718104,3.90227874244068,0.616674735511656,0.648492608683411,0.9358532832301,591.144388007311,600.285714285714
006,264460,264460,608,608,421.608652664822,3.83430551694128,0.598159268279619,0.634390525930573,0.924635618086867,647.891222623119,651.5
007,232401,232401,568,568,414.07737656291,3.89481057013289,0.614117944610127,0.646328643811852,0.93155150387503,598.103922175868,608.551724137931
008,86264,86264,296,296,242.078605114958,3.64400640133274,0.640382462757021,0.663842621725297,0.946736717868139,329.49689410073,350.666666666667
009,71823,71823,199,199,176.862617210618,3.09693054453924,0.585065596463251,0.598397524314736,0.905580349347493,209.275181939495,212.6
010,78484,78484,216,216,181.328308899877,3.24705700054911,0.604072339008025,0.624396905019026,0.926035847130969,239.617400502276,247.230769230769
011,85018,85018,206,206,174.967564898951,3.27872575967491,0.615390759057335,0.634845945536358,0.925149751973763,221.078194940364,231.3
012,79191,79191,195,195,171.539097997584,3.32310042407725,0.63021063953633,0.645912995390827,0.929002007769155,205.377359479273,203.076923076923
013,89283,89283,190,190,166.817571236936,3.17211933027443,0.604555894283956,0.619929804621532,0.915455982625556,201.389426627794,200.5
014,77598,77598,183,183,162.57123292544,3.44803229236073,0.661875699675306,0.677264496584418,0.938021046003261,188.836333936381,187.583333333333
015,181221,181221,462,462,360.754808684338,4.38159215259564,0.714130195080235,0.744131185848606,0.963504762109996,486.871435325903,499.142857142857
016,237926,237926,483,483,367.923755192699,4.39584990303224,0.711300656517514,0.744066074530622,0.965770401455797,509.505400717299,520.272727272727
017,216464,216464,1009,1009,608.43301598002,4.4887338982788,0.648969038780684,0.70017362967751,0.970841996294759,1094.09609534344,1094.22330097087
018,279162,279162,1122,1122,679.976872345569,4.46921696695504,0.636380594391595,0.685246348333867,0.962365171101111,1159.8329697349,1147.0487804878
019,243194,243194,908,908,573.638035135545,4.38612748966788,0.643953915887626,0.690511407231251,0.958593816237244,949.33082978275,940.641304347826
020,278070,278070,1167,1167,688.962623341193,4.30061755238221,0.608963587552747,0.658071075548763,0.950335624047248,1221.20980562059,1216.18918918919
021,243060,243060,906,906,620.031103663622,4.51363373756198,0.662888483189715,0.701989960369392,0.962293485608615,939.240189009194,936.642857142857
022,260365,260365,970,970,608.20700760967,4.25024382998579,0.618010884772096,0.663011260878614,0.947698169354555,1014.04880481779,1013.5119047619
023,108632,108632,373,373,273.037356027368,3.41411455777471,0.576554816271448,0.608619030022803,0.943261422957699,392.602179914072,394.081081081081
024,116345,116345,351,351,263.592308401876,3.29536839423595,0.562274116234047,0.591160708304336,0.931340951352335,367.873696495217,366.529411764706
025,111574,111574,305,305,226.114080518034,3.23592231507597,0.565689850736619,0.596919137698107,0.933418581123622,322.808303449776,324.344827586207
026,129266,129266,307,307,230.681680684517,3.26667363753779,0.570413913817438,0.600376837020991,0.935243975023101,316.612968665202,314.7
027,142409,142409,358,358,276.457706929478,3.21124684483053,0.546080916858531,0.571187086680053,0.898647879004686,368.848132378399,367.857142857143
028,206804,206804,401,401,316.852392191651,4.11277688413595,0.686153378531843,0.714217691367851,0.960103231704536,422.714201351351,418.884615384615
029,251295,251295,447,447,338.40698004506,4.13357473892396,0.67735109378097,0.709718035503511,0.961343885795478,466.647241986238,465.6
030,243980,243980,490,490,361.492973894519,4.15196831057225,0.670277136936272,0.704889185165689,0.959292425059655,524.783673197126,527.275862068965
031,247296,247296,397,397,300.219634037554,3.98926000553879,0.666661511489335,0.699316327663051,0.955518862121401,443.122252253915,442.047619047619
032,258705,258705,404,404,299.495388148455,3.97341196749246,0.662079201037064,0.696833210770003,0.956082037941869,434.766463936106,467.076923076923
033,260679,260679,467,467,324.153227996084,3.99691769968575,0.650293456813873,0.691362763750206,0.954496055840058,531.920683211825,548.888888888889
034,258699,258699,463,463,335.169620782884,4.13974740851663,0.674475644165468,0.711952886762648,0.96148397804862,482.801711963301,489.25
035,261916,261916,704,704,388.602373734481,4.16357316692625,0.635002884155124,0.698286559704646,0.960526556865153,945.816527436792,934.142857142857
036,100369,100369,235,235,192.547812817504,3.04074533352401,0.556955344988433,0.578050607304061,0.849386215799745,253.765845529252,254.117647058824
037,89927,89927,263,263,231.44287026168,3.33972689227208,0.599360116928931,0.613431774659704,0.867988540730156,278.815221327859,275.666666666667
038,109898,109898,237,237,197.574254536661,2.98167693768616,0.545289711657631,0.564058335394053,0.845816611146952,246.076518316103,244.5
039,100180,100180,149,149,124.432722028509,2.43495595221173,0.486607130320049,0.504783267647504,0.787100616175771,159.115943093902,164
040,105313,105313,159,159,132.381674039842,2.45437702788468,0.484202685623777,0.502360448485641,0.78096456226802,170.872552660803,174
041,107710,107710,135,135,117.970703369228,2.32669698516909,0.474325514932679,0.48773253231051,0.748248815852158,139.323634664445,138.5
042,218127,218127,518,518,404.317412059421,4.34269285359058,0.694833608976124,0.723516823473294,0.963093178536911,542.95534684462,547.291666666667
