Rank	Taxonpath	Taxon	X018	X058	X134	X074	X089	X081	X106	X004	X069	X053	X132	X111	X131	X124	X085	X055	X016	X033	X023	X013	X001	X044	X066	X003	X040	X106b	X048	X127	X110	X107	X091	X026	X082	X076	X037	X130	X010	X092	X108b	X070	X075	X098	X122	X056	X068	X095	X090	X063	X137	X102	X133	X103	X120	X060	X087	X078	X114	X030	X042	X065	X009	X031	X104	X036	X135	X071	X006	X043	X099	X080	X136	X054	X117	X084	X041	X118	X049	X125	X046	X096b	X038	X007	X100b	X022	X105	X051	X093	X011	X012	X112b	X014	X086	X079	X021	X059	X020	X002	X039	X123	X121	X034	X005	X113	X035	X027	X128	X064	X032	X029	X096	X052	X045	X115	X015	X119	X094b	X116	X077	X047	X025	X109	X072	X024	X110b	X098b	X100	X017	X126	X101	X092b	X094	X112	X062	X008	X067	X057	X090b	X083	X028	X061	X019	X104b	X073	X050	X097	X108	X102b	X088	X129
root	root	root	59	0	412	24	7	169	5	230	3	41	0	27	54	450	23	0	0	36	16	0	59	198	0	193	10	12	0	76	60	12	88	10	200	0	119	19	116	16	53	1	61	183	751	0	83	143	75	76	122	24	33	87	807	35	29	205	0	135	192	488	21	26	0	51	455	265	93	119	80	212	469	92	3	23	2	659	0	612	7	163	91	251	118	1	7	0	62	85	177	29	0	10	310	19	3	54	190	1	337	350	132	65	10	12	2	232	1	29	15	37	51	19	1	6	213	86	2	2	59	3	5	12	5	92	112	18	9	52	13	69	72	1	11	300	6	0	187	205	156	2	5	0	3	0	3	24	45	1	12
meta	Main genome	Main genome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
meta	Chloroplast	Chloroplast	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
meta	Mitochondria	Mitochondria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
meta	No hits	No hits	85	1392	75	3	5	384	179	659	82	470	87	295	510	1546	39	2315	82	87	52	139	410	978	1157	923	82	295	1250	566	91	145	428	2	702	32	72	0	211	0	22	65	1	687	1499	4704	473	507	462	512	526	128	62	383	438	668	37	624	142	328	669	2682	201	221	20	195	902	217	289	641	445	660	256	818	204	9	51	135	2955	1374	75	29	204	286	351	151	21	951	75	70	91	89	162	234	1100	516	654	168	569	5	1429	867	534	128	1	129	160	344	348	44	254	6	912	169	136	7	277	645	397	22	69	29	11	255	44	130	578	103	74	140	10	16	361	19	842	439	3454	5531	810	925	248	635	200	82	27	1180	27	5	216	32	1873
domain	Main genome;Bacteria	Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
domain	Main genome;Eukaryota	Eukaryota	0	0	0	0	0	0	18	17	0	0	0	19	1	0	0	0	0	0	0	0	0	1	0	0	0	7	0	0	36	15	0	0	0	2	0	0	0	0	24	0	0	0	0	0	1	10	2	0	0	7	5	0	4	0	0	0	0	1	0	0	0	0	3	0	0	3	0	5	4	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	31	0	0	0	0	0	0	0	0	0	1	1	0	36	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	19	0	23	0	4	26	0	0	0	0	0	0	0	28	0	0	0	0	0	0	3	0	0	1	0	0	1	37	2	0	3
domain	Main genome;Archaea	Archaea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
domain	Chloroplast;Eukaryota (Chloroplast)	Eukaryota (Chloroplast)	4000	55413	11597	1906	3587	6977	707	11928	4381	37559	6117	353	4069	24303	4070	80403	15574	4406	1494	2738	7391	18545	49253	16062	2189	1190	74446	3668	355	338	6596	2112	10505	744	4321	3647	2350	253	991	4929	1046	1025	22912	37961	6644	10479	4373	13074	22965	614	6470	685	10700	18982	4054	12357	1800	8675	19640	28209	1573	4776	491	6609	19966	5889	7337	21286	1292	11959	21970	14272	1974	6158	3690	1870	57968	30239	8571	1394	7709	3366	2811	4362	261	33934	2351	2812	3739	345	3051	9956	17284	20389	31440	4326	11574	2291	19947	19292	6271	4364	34	5818	11460	6164	16140	5208	10355	359	78453	10283	2246	15312	3848	13868	2135	1241	4118	2823	137	5571	4608	510	737	686	7642	6749	155	1184	8046	81	35884	5855	13283	32245	8508	11319	10079	40412	12403	1885	713	21850	553	252	1135	5801	11259
domain	Mitochondria;Eukaryota (Mitochondria)	Eukaryota (Mitochondria)	192	5797	68	4	99	449	8	468	126	629	1	39	132	1509	46	10727	358	35	55	117	352	1111	5906	511	91	12	13611	234	35	61	107	3	624	5	72	0	3	11	205	23	0	288	1302	3886	203	399	122	897	146	16	650	9	104	46	45	516	47	507	703	1609	117	72	22	221	364	121	119	1715	122	1137	245	78	49	17	0	45	2331	1479	72	89	91	235	18	150	0	1845	61	68	72	53	0	194	1013	911	1029	172	373	45	1144	390	182	191	0	470	122	0	123	35	457	21	711	102	0	392	5	644	16	0	24	39	55	228	23	54	285	2	150	180	5	36	303	13	654	122	81	2216	229	1136	431	1858	505	60	0	40	10	53	38	9	220
