Rank	Taxonpath	Taxon	X018	X058	X134	X074	X089	X081	X106	X004	X069	X053	X132	X111	X131	X124	X085	X055	X016	X033	X023	X013	X001	X044	X066	X003	X040	X106b	X048	X127	X110	X107	X091	X026	X082	X076	X037	X130	X010	X092	X108b	X070	X075	X098	X122	X056	X068	X095	X090	X063	X137	X102	X133	X103	X120	X060	X087	X078	X114	X030	X042	X065	X009	X031	X104	X036	X135	X071	X006	X043	X099	X080	X136	X054	X117	X084	X041	X118	X049	X125	X046	X096b	X038	X007	X100b	X022	X105	X051	X093	X011	X012	X112b	X014	X086	X079	X021	X059	X020	X002	X039	X123	X121	X034	X005	X113	X035	X027	X128	X064	X032	X029	X096	X052	X045	X115	X015	X119	X094b	X116	X077	X047	X025	X109	X072	X024	X110b	X098b	X100	X017	X126	X101	X092b	X094	X112	X062	X008	X067	X057	X090b	X083	X028	X061	X019	X104b	X073	X050	X097	X108	X102b	X088	X129
root	root	root	283866	94883	402095	80198	100781	172219	313055	326762	215664	255031	482651	279157	534878	410279	107681	268005	254758	265954	110589	92563	237622	217069	79136	327610	107738	533184	169496	456506	212780	232226	297582	131419	194245	88318	95033	431467	81648	89231	401706	166727	105604	227101	494230	238461	190862	241277	167231	116579	393996	259887	423090	202817	519237	99496	122046	188180	415156	254603	242410	92462	73834	252624	104073	108111	478676	231009	272908	311540	233440	212074	517068	231236	519739	129515	111957	455904	240495	408386	118739	492562	119248	236911	413489	265605	112142	178877	95084	88514	83547	450411	80933	135001	251820	266006	78013	283820	262735	102700	358072	382774	265953	233615	98744	269184	154589	481383	100293	264718	263412	128075	218870	123945	478255	197133	419557	378122	416002	99572	123557	114505	87893	323263	121367	381743	189485	115601	224732	509170	76852	348701	226167	110041	63185	93463	105123	197249	304704	265370	218306	97109	257047	368051	105621	211819	83504	103814	460590	135634	471066
meta	Main genome	Main genome	279456	32397	388802	78150	96918	163833	312287	313626	210890	216591	476279	278660	530409	379099	103331	175352	238288	261283	108942	89581	229572	194284	22443	310531	105374	531877	74540	452321	212286	231773	290292	129279	181500	87555	90161	427506	78896	88936	400430	161669	104417	225501	463990	196134	183326	229881	162391	101440	369344	259147	415571	202013	506321	80375	117491	173016	413043	244516	218958	61544	72019	247537	103550	100772	457679	224556	265276	285587	231702	196867	493087	216565	517681	122873	108172	453256	179735	370339	109081	490299	110954	232965	410351	260738	111872	142803	92484	85269	79381	449975	77782	124176	231307	243521	45498	278324	250144	100264	332791	360567	259105	228902	98699	262693	142486	474987	83488	259254	251853	127504	138905	112522	476008	181056	414969	363123	413556	98215	119010	111611	87691	317273	116442	381016	188237	114834	216732	501439	76667	347338	217547	109945	25907	86584	91428	162055	295305	251269	207016	52987	243587	366069	104836	189928	82875	103474	459219	129455	458278
meta	Chloroplast	Chloroplast	4121	55734	12772	2020	3757	7691	729	12438	4645	37583	6361	399	4283	28919	4279	80552	15876	4562	1568	2865	7581	21314	49287	16375	2263	1238	74740	3862	378	371	7092	2127	11824	758	4674	3822	2633	268	1018	5002	1126	1057	27902	37961	7232	10850	4635	13892	23977	619	6836	690	11334	18992	4470	14116	1994	9313	22354	28209	1677	4941	499	7038	20178	6048	7418	24000	1389	13636	22988	14442	1990	6568	3782	1943	58402	35277	9578	2011	8085	3429	3002	4630	262	34033	2477	3092	3917	354	3151	10619	19119	21452	31469	5206	12012	2390	23531	21167	6486	4447	35	5987	11963	6164	16412	5376	11058	513	78711	11301	2246	15679	3925	14269	2383	1355	4464	2852	137	5731	4896	555	767	747	7787	7499	160	1258	8245	82	36167	6457	13286	32247	8968	12595	10644	40788	12869	1914	782	21850	616	263	1146	6169	12233
meta	Mitochondria	Mitochondria	230	6752	109	4	99	526	34	468	126	816	11	71	132	1811	48	12101	594	73	63	117	410	1273	7406	511	91	57	20216	247	56	70	110	3	721	5	79	120	3	11	205	55	0	360	1587	4366	221	403	130	1171	553	97	650	27	775	94	56	843	119	639	906	2221	117	120	24	250	364	140	121	1834	269	1359	524	137	65	51	1	46	2358	2158	73	89	118	266	18	236	1	2041	61	68	72	53	0	196	1084	1014	1043	236	389	45	1413	690	230	201	0	492	138	0	392	59	486	21	1203	103	0	392	450	644	61	0	24	39	60	247	24	80	369	2	204	180	12	36	303	13	1100	122	403	2947	244	1301	490	3332	586	68	0	41	10	53	180	9	543
meta	No hits	No hits	85	1392	75	3	5	384	179	659	82	470	87	295	510	1546	39	2315	82	87	52	139	410	978	1157	923	82	295	1250	566	91	145	428	2	702	32	72	0	211	0	22	65	1	687	1499	4704	473	507	462	512	526	128	62	383	438	668	37	624	142	328	669	2682	201	221	20	195	902	217	289	641	445	660	256	818	204	9	51	135	2955	1374	75	29	204	286	351	151	21	951	75	70	91	89	162	234	1100	516	654	168	569	5	1429	867	534	128	1	129	160	344	348	44	254	6	912	169	136	7	277	645	397	22	69	29	11	255	44	130	578	103	74	140	10	16	361	19	842	439	3454	5531	810	925	248	635	200	82	27	1180	27	5	216	32	1873
domain	Main genome;Bacteria	Bacteria	274596	30411	356189	73349	88194	157810	255123	302374	202781	215632	373257	195813	205684	356796	91695	174773	229811	260570	95755	85198	224781	187109	21778	306308	103709	430664	73586	177985	172489	179884	275870	114655	172631	81436	88141	158994	69127	84842	164438	158771	94237	201404	429809	195213	173295	211333	151201	96107	339340	223068	382682	171992	421399	77036	101156	163293	316536	243464	210300	59999	65342	247082	65971	97942	409094	218911	260978	273559	214822	184803	451056	215794	396295	104521	106396	361815	177699	344740	94163	457301	107916	225538	348955	258728	63837	141348	86180	76555	73034	172694	72019	109508	216899	232555	39374	275781	244561	98880	298887	335809	258244	221861	22480	261680	138784	149344	73904	258540	250615	118386	137690	96927	354631	173161	339968	329225	325323	89566	106081	97199	32852	309035	98524	306328	170104	96908	212376	198737	66218	332913	196587	41817	21784	72709	90962	161327	275529	234291	205783	52134	237620	233300	97809	188819	76605	41517	394991	116480	236706
domain	Main genome;Eukaryota	Eukaryota	250	1949	121	67	102	703	1473	1094	512	492	151	718	277	662	321	520	486	566	272	178	771	1351	647	788	59	931	954	118	641	530	610	13	642	33	333	174	478	55	285	381	41	905	405	821	240	1408	327	2753	93	975	99	604	1561	3226	148	765	361	648	1147	284	199	376	227	444	149	906	361	1447	1301	635	315	500	1066	136	452	1141	1546	446	494	89	1142	419	99	261	128	1036	118	331	320	283	168	215	1068	543	6113	402	810	88	482	850	699	510	233	760	72	143	9144	662	673	71	789	191	365	283	1301	1424	408	88	87	18	417	830	124	499	308	153	314	117	22	38	1287	306	4120	577	465	309	380	1091	468	738	479	152	83	1099	65	338	638	210	209
domain	Main genome;Archaea	Archaea	4610	37	32492	4734	8622	5320	55691	10158	7597	467	102871	82129	324448	21641	11315	59	7991	147	12915	4205	4020	5824	18	3435	1606	100282	0	274218	39156	51359	13812	14611	8227	6086	1687	268338	9291	4039	235707	2517	10139	23192	33776	100	9791	17140	10863	2580	29911	35104	32790	29417	83361	113	16187	8958	96146	404	7511	1261	6478	79	37352	2386	48436	4739	3937	10581	15579	11429	41716	271	120320	18216	1324	90300	490	25153	14424	32909	1896	7008	61297	1749	47907	419	6186	8383	6027	276998	5595	14453	13340	10423	11	2141	4773	1296	33422	23908	162	6531	75986	253	3630	325500	440	52	565	9047	426	15404	121012	7612	73700	32474	87825	8561	12842	14394	54422	7408	17794	74189	17825	17773	4042	302585	10427	14387	19673	67822	3	13298	1	419	19396	15887	765	115	5488	132617	6944	10	6205	61619	63590	12765	221363
domain	Chloroplast;Eukaryota (Chloroplast)	Eukaryota (Chloroplast)	4121	55734	12772	2020	3757	7691	729	12438	4645	37583	6361	399	4283	28919	4279	80552	15876	4562	1568	2865	7581	21314	49287	16375	2263	1238	74740	3862	378	371	7092	2127	11824	758	4674	3822	2633	268	1018	5002	1126	1057	27902	37961	7232	10850	4635	13892	23977	619	6836	690	11334	18992	4470	14116	1994	9313	22354	28209	1677	4941	499	7038	20178	6048	7418	24000	1389	13636	22988	14442	1990	6568	3782	1943	58402	35277	9578	2011	8085	3429	3002	4630	262	34033	2477	3092	3917	354	3151	10619	19119	21452	31469	5206	12012	2390	23531	21167	6486	4447	35	5987	11963	6164	16412	5376	11058	513	78711	11301	2246	15679	3925	14269	2383	1355	4464	2852	137	5731	4896	555	767	747	7787	7499	160	1258	8245	82	36167	6457	13286	32247	8968	12595	10644	40788	12869	1914	782	21850	616	263	1146	6169	12233
domain	Mitochondria;Eukaryota (Mitochondria)	Eukaryota (Mitochondria)	230	6752	109	4	99	526	34	468	126	816	11	71	132	1811	48	12101	594	73	63	117	410	1273	7406	511	91	57	20216	247	56	70	110	3	721	5	79	120	3	11	205	55	0	360	1587	4366	221	403	130	1171	553	97	650	27	775	94	56	843	119	639	906	2221	117	120	24	250	364	140	121	1834	269	1359	524	137	65	51	1	46	2358	2158	73	89	118	266	18	236	1	2041	61	68	72	53	0	196	1084	1014	1043	236	389	45	1413	690	230	201	0	492	138	0	392	59	486	21	1203	103	0	392	450	644	61	0	24	39	60	247	24	80	369	2	204	180	12	36	303	13	1100	122	403	2947	244	1301	490	3332	586	68	0	41	10	53	180	9	543
superkingdom	Main genome;Bacteria;Bacteria (superkingdom)	Bacteria (superkingdom)	274596	30411	356189	73349	88194	157810	255123	302374	202781	215632	373257	195813	205684	356796	91695	174773	229811	260570	95755	85198	224781	187109	21778	306308	103709	430664	73586	177985	172489	179884	275870	114655	172631	81436	88141	158994	69127	84842	164438	158771	94237	201404	429809	195213	173295	211333	151201	96107	339340	223068	382682	171992	421399	77036	101156	163293	316536	243464	210300	59999	65342	247082	65971	97942	409094	218911	260978	273559	214822	184803	451056	215794	396295	104521	106396	361815	177699	344740	94163	457301	107916	225538	348955	258728	63837	141348	86180	76555	73034	172694	72019	109508	216899	232555	39374	275781	244561	98880	298887	335809	258244	221861	22480	261680	138784	149344	73904	258540	250615	118386	137690	96927	354631	173161	339968	329225	325323	89566	106081	97199	32852	309035	98524	306328	170104	96908	212376	198737	66218	332913	196587	41817	21784	72709	90962	161327	275529	234291	205783	52134	237620	233300	97809	188819	76605	41517	394991	116480	236706
superkingdom	Main genome;Eukaryota;Amorphea	Amorphea	16	241	63	0	10	89	80	186	14	0	40	71	56	24	33	12	33	15	35	1	54	6	13	37	3	38	97	16	68	33	6	4	116	0	34	1	24	34	37	11	0	60	5	51	4	42	10	504	10	146	16	38	107	8	36	15	17	0	38	2	32	0	33	0	0	13	11	39	195	2	0	1	0	16	0	12	48	59	31	17	0	32	5	7	14	704	46	20	23	49	16	15	2	22	2	29	32	0	73	43	5	89	42	14	18	43	270	19	36	27	23	24	1	14	29	31	8	1	12	5	48	21	5	32	16	8	57	13	0	26	72	48	10	97	1	1	6	21	0	192	4	14	3	4	16	47	64	13	31
superkingdom	Main genome;Eukaryota;Archaeplastida	Archaeplastida	10	33	1	0	5	48	3	34	9	16	0	0	0	44	0	0	71	8	10	7	3	125	0	14	0	0	12	0	13	0	5	3	51	0	0	0	1	0	0	5	0	13	47	43	16	53	9	47	2	10	29	0	6	4	15	82	1	24	58	11	0	5	0	4	5	3	0	111	9	96	7	33	0	0	0	0	312	33	1	1	0	14	36	9	0	0	0	8	0	0	0	0	157	84	13	48	5	0	61	12	40	6	2	16	3	0	0	12	25	1	126	11	0	7	2	97	0	0	0	5	0	9	25	4	5	55	33	0	7	0	131	0	19	2	14	0	12	135	6	8	34	0	0	0	0	0	6	9	15
superkingdom	Main genome;Eukaryota;SAR	SAR	222	545	37	67	83	527	1360	829	489	144	109	628	220	585	288	189	338	530	224	166	706	1121	151	689	56	881	305	72	523	477	576	5	469	31	289	173	412	15	218	364	41	819	352	358	211	1279	304	2113	78	773	48	544	1418	2997	97	625	337	612	979	220	160	369	190	438	122	874	344	1218	1055	484	303	268	1061	120	452	1121	902	354	450	70	1137	366	57	221	112	107	70	288	280	203	147	199	891	431	5965	325	732	88	328	772	614	412	153	680	51	100	8802	630	577	43	233	154	352	215	1267	1285	387	84	56	8	345	800	87	437	280	83	199	104	13	8	1054	230	3858	447	416	192	362	908	393	516	418	135	80	202	47	252	544	188	136
superkingdom	Main genome;Eukaryota;Excavata	Excavata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
superkingdom	Main genome;Eukaryota;Hacrobia	Hacrobia	2	1130	20	0	4	39	12	28	0	332	2	0	0	9	0	319	44	13	3	4	8	98	483	48	0	5	540	11	1	5	23	1	6	0	10	0	41	6	6	1	0	13	1	369	8	24	2	89	3	39	1	22	26	217	0	43	6	11	72	51	7	2	1	2	22	13	6	74	38	53	5	198	5	0	0	5	284	0	12	1	5	7	1	24	2	225	1	15	17	0	5	1	18	6	133	0	41	0	20	22	39	3	0	50	0	0	72	1	34	0	407	2	12	47	3	11	13	3	0	0	1	0	3	0	7	7	25	0	2	4	30	0	233	31	34	116	0	27	66	22	23	2	0	893	1	2	22	0	24
superkingdom	Main genome;Archaea;Archaea (superkingdom)	Archaea (superkingdom)	4610	37	32492	4734	8622	5320	55691	10158	7597	467	102871	82129	324448	21641	11315	59	7991	147	12915	4205	4020	5824	18	3435	1606	100282	0	274218	39156	51359	13812	14611	8227	6086	1687	268338	9291	4039	235707	2517	10139	23192	33776	100	9791	17140	10863	2580	29911	35104	32790	29417	83361	113	16187	8958	96146	404	7511	1261	6478	79	37352	2386	48436	4739	3937	10581	15579	11429	41716	271	120320	18216	1324	90300	490	25153	14424	32909	1896	7008	61297	1749	47907	419	6186	8383	6027	276998	5595	14453	13340	10423	11	2141	4773	1296	33422	23908	162	6531	75986	253	3630	325500	440	52	565	9047	426	15404	121012	7612	73700	32474	87825	8561	12842	14394	54422	7408	17794	74189	17825	17773	4042	302585	10427	14387	19673	67822	3	13298	1	419	19396	15887	765	115	5488	132617	6944	10	6205	61619	63590	12765	221363
superkingdom	Chloroplast;Eukaryota (Chloroplast);Acrosorium (Chloroplast)	Acrosorium (Chloroplast)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
superkingdom	Chloroplast;Eukaryota (Chloroplast);Lepocinclis (Chloroplast)	Lepocinclis (Chloroplast)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
superkingdom	Chloroplast;Eukaryota (Chloroplast);Cinnamomum (Chloroplast)	Cinnamomum (Chloroplast)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
superkingdom	Chloroplast;Eukaryota (Chloroplast);Karenia (Chloroplast)	Karenia (Chloroplast)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	10	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
superkingdom	Chloroplast;Eukaryota (Chloroplast);Porphyridium (Chloroplast)	Porphyridium (Chloroplast)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
superkingdom	Chloroplast;Eukaryota (Chloroplast);Dolichomastix (Chloroplast)	Dolichomastix (Chloroplast)	0	0	66	13	0	22	0	47	0	0	0	0	0	0	0	0	0	0	8	0	1	0	0	1	3	0	0	0	0	0	0	0	0	0	13	0	0	0	17	0	0	0	0	0	15	0	6	6	0	0	0	0	0	0	0	80	0	0	40	0	4	42	0	0	1	0	3	0	0	0	4	0	0	7	0	0	0	0	1	0	15	17	0	0	0	0	4	0	1	3	0	2	33	0	0	0	89	0	85	24	52	7	0	18	0	0	0	0	58	0	0	2	0	17	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	56	0	0	15	0	2	0	0	0	0	0	0	10	0	0	0
superkingdom	Chloroplast;Eukaryota (Chloroplast);Pyramimonas (Chloroplast)	Pyramimonas (Chloroplast)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
superkingdom	Chloroplast;Eukaryota (Chloroplast);Glaucosphaera (Chloroplast)	Glaucosphaera (Chloroplast)	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	20	0	0	0	0	0	24	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	43	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
superkingdom	Chloroplast;Eukaryota (Chloroplast);Choreocolax (Chloroplast)	Choreocolax (Chloroplast)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
superkingdom	Chloroplast;Eukaryota (Chloroplast);Chlorarachnion (Chloroplast)	Chlorarachnion (Chloroplast)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	9	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0
superkingdom	Chloroplast;Eukaryota (Chloroplast);Gloeochaete (Chloroplast)	Gloeochaete (Chloroplast)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
superkingdom	Chloroplast;Eukaryota (Chloroplast);Desmarestia (Chloroplast)	Desmarestia (Chloroplast)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
