Rank	Taxonpath	Taxon	X018	X058	X134	X074	X089	X081	X106	X004	X069	X053	X132	X111	X131	X124	X085	X055	X016	X033	X023	X013	X001	X044	X066	X003	X040	X106b	X048	X127	X110	X107	X091	X026	X082	X076	X037	X130	X010	X092	X108b	X070	X075	X098	X122	X056	X068	X095	X090	X063	X137	X102	X133	X103	X120	X060	X087	X078	X114	X030	X042	X065	X009	X031	X104	X036	X135	X071	X006	X043	X099	X080	X136	X054	X117	X084	X041	X118	X049	X125	X046	X096b	X038	X007	X100b	X022	X105	X051	X093	X011	X012	X112b	X014	X086	X079	X021	X059	X020	X002	X039	X123	X121	X034	X005	X113	X035	X027	X128	X064	X032	X029	X096	X052	X045	X115	X015	X119	X094b	X116	X077	X047	X025	X109	X072	X024	X110b	X098b	X100	X017	X126	X101	X092b	X094	X112	X062	X008	X067	X057	X090b	X083	X028	X061	X019	X104b	X073	X050	X097	X108	X102b	X088	X129
root	root	root	1294.64015152	308.421052632	703.04	364.333333333	527.064516129	1185.10666667	2530.12585034	1063.21	776.34375	347.692307692	919.45	2133.41221374	1053.20714286	1297.4695122	528.779411765	276.970588235	700.913793103	788.640625	582.538461538	336.454545455	897.333333333	899.96	193.636363636	1076.76	254.777777778	2381.46153846	337.9	1160.76960784	2103.52054795	2076.14285714	944.035714286	405.118421053	1092.50649351	333.446428571	458.020833333	958.591836735	417.265625	530.210526316	1183.81818182	806.28030303	307.928571429	1422.15384615	1237.00625	227.53125	960.679104478	1323.93406593	995.257142857	1081.65753425	766.760416667	2176.67063492	591.390625	2054.46747967	2132.66118421	300.777777778	557.15	1305.05625	1922.81395349	778.861702128	916.433962264	291.153846154	395.347222222	646.764705882	1176.5	446.322580645	685.0	836.009803922	917.614754098	976.782608696	1525.02439024	1203.79365079	692.140625	408.806451613	1886.9587156	527.1	241.153846154	2009.55839416	377.022727273	1148.12328767	484.722222222	591.4	411.564516129	865.290697674	590.816666667	1126.32758621	1075.1954023	290.235294118	515.666666667	392.161290323	401.25	1316.005	330.083333333	650.409090909	1237.65625	1160.75789474	289.0	1367.0	1047.29508197	282.545454545	1277.57471264	1566.01724138	702.662162162	830.177777778	1079.94	1166.57228916	505.529411765	1181.71505376	306.571428571	637.595238095	712.581632653	569.066666667	550.16	498.347222222	1500.45454545	644.0	2106.65	1126.79365079	1829.5	346.026315789	387.160714286	465.2	1087.00641026	875.456896552	498.880434783	2010.77181208	1231.72	553.894736842	1306.25652174	1702.0	742.009259259	523.315217391	1177.88235294	1260.08791209	346.75	576.255319149	253.25	257.625	967.884615385	1230.73972603	652.26744186	283.03125	1190.78318584	1215.17361111	421.32	258.029411765	593.141304348	1121.71078431	2053.85971223	569.612903226	1288.53157895
meta	Main genome	Main genome	1203.32283465	259.694444444	595.546511628	269.272727273	411.379310345	1010.00833333	2461.59782609	858.094594595	659.635135135	312.98	890.961538462	2092.57142857	1035.54347826	1097.91780822	437.307692308	232.633333333	575.333333333	687.571428571	485.743902439	265.0	724.205128205	685.013888889	160.25	847.723076923	194.045454545	2330.57142857	285.470588235	1141.90594059	2055.2	2038.3677686	791.418604651	340.516129032	910.939393939	280.695652174	337.3	942.540816327	318.482758621	461.064516129	1164.66666667	701.114754098	253.78125	1338.37619048	1054.52739726	199.133333333	802.010204082	1147.37692308	818.025423729	891.410447761	643.644736842	2108.31707317	545.5	2015.00458716	2032.33333333	268.382352941	452.789473684	1103.0	1881.97637795	619.055555556	681.127906977	258.375	311.020833333	530.326923077	1136.34810127	323.0	573.923076923	698.186046512	769.724489796	748.0	1438.1025641	982.0	582.673913043	363.896551724	1851.78240741	415.941176471	178.2	1971.63333333	318.026315789	954.633333333	344.5625	546.785714286	289.447368421	735.5	563.480769231	1048.59411765	1042.00595238	256.7	401.214285714	303.391304348	293.42	1300.02083333	247.777777778	502.512820513	1042.52941176	992.380952381	239.133333333	1290.74122807	831.044444444	198.5	1083.28947368	1373.31372549	561.306451613	704.210526316	1055.5	1042.9527027	400.230769231	1155.67222222	260.083333333	575.321428571	565.782051282	527.431034483	490.09375	346.75	1477.57471264	538.0	2049.04918033	995.245098039	1796.0	275.133333333	289.130434783	373.96969697	1066.74025974	775.367346939	403.473684211	1971.72068966	1160.45454545	525.191176471	1160.89090909	1659.84013605	726.36	455.065789474	1019.675	1239.27222222	289.025	450.357142857	224.388888889	226.833333333	804.987804878	1049.93939394	508.5625	258.142857143	1039.02105263	1181.20714286	363.105263158	232.033333333	537.76744186	1101.66336634	1996.37313433	458.625	1237.59574468
meta	Chloroplast	Chloroplast	74.125	39.5	101.083333333	93.5555555556	148.0	141.041666667	54.25	181.181818182	106.636363636	27.5	26.0	33.125	15.0	169.222222222	87.7857142857	39.0	118.5	105.0	82.05	71.5714285714	146.666666667	180.909090909	None	219.0	59.5	41.25	38.25	13.0	37.125	28.125	135.666666667	60.3333333333	148.2	49.6	102.0	None	97.5	66.2857142857	15.0	112.666666667	52.6	63.25	146.571428571	21.5	140.28125	159.113636364	155.2	165.4	111.888888889	66.1666666667	45.3333333333	44.0416666667	80.25	26.5	101.05	175.5	30.0	143.0	195.25	26.5	78.5454545455	102.642857143	34.5	112.1	104.0	120.285714286	134.8	191.125	81.25	177.571428571	105.25	38.0	31.5	106.5	61.25	29.0	47.6666666667	163.681818182	124.0	42.0	112.166666667	112.083333333	29.0	80.5	27.1666666667	26.25	103.083333333	84.0625	98.2857142857	14.0	82.3333333333	144.0	162.45	135.5	37.5	62.7857142857	184.133333333	79.0	163.8	164.25	120.1	109.071428571	None	106.0	96.1428571429	24.6666666667	None	79.5	131.25	43.5	48.5	134.041666667	23.5	94.1	47.1428571429	121.041666667	30.25	76.1666666667	90.0	84.5	None	86.0	83.0625	28.125	55.8	24.125	124.5	33.25	15.25	65.25	153.5	19.0	45.25	122.05	22.5	30.0	148.227272727	147.6	125.142857143	None	133.892857143	32.0	60.0	22.25	50.0	18.5	48.1666666667	105.681818182	46.0
meta	Mitochondria	Mitochondria	16.5	None	5.0	2.0	None	28.0	9.0	21.0	None	None	None	7.5	None	None	4.0	None	18.0	9.25	None	3.0	22.0	35.6666666667	6.0	14.5	None	7.0	14.5	None	8.0	9.0	15.0	2.5	36.0	None	14.5	None	None	None	None	8.0	None	15.1666666667	None	None	18.25	23.0	None	25.5	8.0	None	None	5.0	None	None	None	None	None	19.125	37.25	None	5.5	None	None	9.5	None	13.0	11.0	37.25	11.25	38.0	None	None	None	6.0	None	5.5	None	26.5	None	None	None	12.5	2.0	13.0	None	None	None	None	None	None	None	13.0	27.0	31.25	None	None	39.0	None	None	25.6666666667	20.5	None	None	16.25	None	None	4.0	7.25	15.0	None	12.0	15.0	None	None	8.0	None	None	None	None	8.66666666667	5.0	13.0	None	None	15.0	None	36.0	7.0	3.0	None	10.0	None	None	5.0	None	None	None	37.0	21.125	9.0	20.0	3.0	None	None	None	None	9.0	None	None
meta	No hits	No hits	6.0	None	None	2.5	None	None	26.25	None	13.5	8.5	5.5	15.0	None	33.0	None	None	None	6.25	None	9.0	29.125	20.0	7.5	44.25	None	21.0	10.0	None	14.5	24.0	22.6	1.0	45.0	None	7.5	None	None	None	None	15.125	None	32.25	30.0	None	31.0	21.5	None	39.5	10.0	39.0	5.0	25.125	12.5	None	5.0	30.0	12.0	27.0	33.0	None	7.0	None	3.5	11.0	4.0	None	19.0	33.0	23.125	34.0	None	None	11.0	None	5.5	7.0	None	None	11.0	None	12.0	27.25	8.0	None	None	6.0	5.5	12.5	4.0	4.0	6.0	None	63.25	20.25	12.25	7.0	31.25	None	35.6	29.5	18.0	17.5	None	None	6.5	None	None	8.0	22.25	None	15.25	None	8.5	None	None	18.0	14.0	None	None	None	2.0	11.25	4.0	11.0	26.1666666667	None	12.0	10.1666666667	None	None	16.6666666667	3.5	16.5	12.25	None	None	34.1666666667	32.0	18.5	None	16.0	None	None	None	11.5	None	26.0	None	10.0
domain	Main genome;Bacteria	Bacteria	1142.70416667	227.136363636	495.636363636	234.5	335.444444444	842.778846154	2103.81531532	710.185185185	555.060606061	280.88	695.015625	1809.49065421	829.0	896.814814815	340.125	207.538461538	538.363636364	619.840909091	382.083333333	192.45	604.285714286	537.684210526	136.0	702.086956522	186.083333333	2012.73626374	252.0	710.039215686	1740.88934426	1767.63592233	650.7	285.090909091	795.177777778	235.025	269.961538462	730.716216216	213.833333333	394.18	943.3203125	604.666666667	207.055555556	1122.02666667	917.080357143	171.666666667	680.038461538	962.18627451	676.897959184	681.560606061	558.173076923	1766.37209302	447.184210526	1723.5625	1696.94736842	228.375	360.2	935.039215686	1634.47029703	526.875	536.204545455	236.0	199.041666667	480.272727273	952.007575758	253.035714286	457.447368421	582.378787879	681.461538462	586.896551724	1201.03703704	841.592105263	500.441176471	315.520833333	1629.79310345	332.0	144.333333333	1712.96728972	269.0	821.666666667	279.68	474.173076923	237.333333333	610.790322581	467.840909091	998.556962025	893.027777778	232.5	338.027777778	205.0	193.2	1054.16233766	180.5625	404.515625	876.083333333	907.840277778	193.727272727	1222.22685185	679.894736842	156.4	901.63559322	1151.28571429	490.083333333	620.0	812.535087719	946.828571429	323.382352941	764.777777778	217.5	498.045454545	487.923076923	447.166666667	446.19047619	286.777777778	1280.125	497.023809524	1767.20930233	836.045454545	1560.72222222	218.75	239.447368421	310.568181818	849.963768116	640.297619048	311.568965517	1717.63274336	1010.78571429	424.413793103	1085.33838384	943.918918919	638.1	395.117647059	872.136363636	1004.43902439	249.0	345.727272727	186.0	201.375	693.725806452	900.035714286	416.78	235.636363636	946.145348837	997.201612903	294.3	203.136363636	447.894736842	876.148809524	1680.06521739	373.45	931.828571429
domain	Main genome;Eukaryota	Eukaryota	43.0	33.0714285714	35.0	21.3888888889	33.5555555556	140.071428571	220.0	110.2	94.5	None	30.125	148.033333333	37.5714285714	77.0	56.0833333333	22.25	26.0	41.0	66.25	45.5	96.1818181818	129.833333333	22.5	119.558823529	10.0	199.090909091	35.0	24.0	192.125	161.0	102.333333333	18.0	75.1578947368	17.0	55.25	12.0	67.0357142857	9.0	67.0714285714	69.8	14.25	167.266666667	79.6153846154	24.0	109.071428571	129.375	117.0	176.909090909	25.5	225.640625	24.0	184.266666667	192.91509434	37.6	56.25	111.571428571	86.0	80.5625	129.921052632	13.0	76.0454545455	32.125	76.5625	53.05	52.1666666667	82.0555555556	66.05	135.0	194.113636364	95.5714285714	20.125	46.5	82.8928571429	33.3333333333	22.0	128.113636364	43.0	52.0	43.3333333333	18.25	38.0	118.166666667	45.1666666667	29.125	32.25	21.5	48.0	67.8461538462	72.5	98.4	46.5625	77.125	123.038461538	57.1666666667	42.5	49.1	125.333333333	25.5	103.038461538	161.111111111	63.0833333333	60.2857142857	53.25	115.25	None	34.25	44.5	62.0	72.0416666667	None	38.1666666667	36.5	47.2857142857	30.5	161.5	142.6	75.8928571429	24.0	37.0	19.1666666667	94.125	104.75	30.125	132.630434783	116.236842105	47.125	52.1428571429	46.0	24.25	11.5	99.5714285714	210.0	37.6666666667	94.5869565217	None	25.0	72.2222222222	88.0714285714	87.0833333333	24.0	77.6	73.0	38.125	30.0	41.1666666667	72.1363636364	210.347222222	44.6428571429	56.25
domain	Main genome;Archaea	Archaea	21.1666666667	None	68.125	29.5	45.0	50.5	141.0	None	28.0	None	167.166666667	136.0	172.321428571	132.181818182	44.125	None	None	32.25	47.5	None	None	21.0	None	26.25	9.0	132.615384615	None	412.393617021	174.25	117.0	49.25	43.2857142857	47.0	33.25	None	200.909090909	None	59.125	160.0	27.6666666667	34.5	None	62.0	5.0	30.1666666667	57.25	42.5	35.0	61.1	118.9	75.6666666667	112.0	143.25	None	46.25	None	169.633333333	None	18.25	None	41.5	None	109.9	23.0	71.5	36.0	None	28.0	44.25	50.1666666667	63.25	8.0	141.142857143	50.6666666667	None	132.75	None	82.2857142857	22.0	None	None	35.0	62.5	22.0	122.125	None	26.0	None	28.5	178.035714286	23.0	39.0	48.0	None	3.5	22.5	35.0	20.0	87.0	72.5714285714	9.0	26.0	191.0	15.0	61.5	368.279069767	5.0	16.0	8.0	55.0	8.0	None	154.041666667	None	124.0	58.25	160.555555556	None	20.25	48.25	143.0	49.0	62.6	126.388888889	42.0	66.0	24.125	684.630434783	72.0	51.6666666667	49.25	155.642857143	2.5	40.0	None	2.0	43.0	64.1666666667	13.0	3.0	26.125	132.5	None	None	60.25	154.0	114.083333333	50.1666666667	264.113636364
domain	Chloroplast;Eukaryota (Chloroplast)	Eukaryota (Chloroplast)	74.125	39.5	101.083333333	93.5555555556	148.0	141.041666667	54.25	181.181818182	106.636363636	27.5	26.0	33.125	15.0	169.222222222	87.7857142857	39.0	118.5	105.0	82.05	71.5714285714	146.666666667	180.909090909	None	219.0	59.5	41.25	38.25	13.0	37.125	28.125	135.666666667	60.3333333333	148.2	49.6	102.0	None	97.5	66.2857142857	15.0	112.666666667	52.6	63.25	146.571428571	21.5	140.28125	159.113636364	155.2	165.4	111.888888889	66.1666666667	45.3333333333	44.0416666667	80.25	26.5	101.05	175.5	30.0	143.0	195.25	26.5	78.5454545455	102.642857143	34.5	112.1	104.0	120.285714286	134.8	191.125	81.25	177.571428571	105.25	38.0	31.5	106.5	61.25	29.0	47.6666666667	163.681818182	124.0	42.0	112.166666667	112.083333333	29.0	80.5	27.1666666667	26.25	103.083333333	84.0625	98.2857142857	14.0	82.3333333333	144.0	162.45	135.5	37.5	62.7857142857	184.133333333	79.0	163.8	164.25	120.1	109.071428571	None	106.0	96.1428571429	24.6666666667	None	79.5	131.25	43.5	48.5	134.041666667	23.5	94.1	47.1428571429	121.041666667	30.25	76.1666666667	90.0	84.5	None	86.0	83.0625	28.125	55.8	24.125	124.5	33.25	15.25	65.25	153.5	19.0	45.25	122.05	22.5	30.0	148.227272727	147.6	125.142857143	None	133.892857143	32.0	60.0	22.25	50.0	18.5	48.1666666667	105.681818182	46.0
domain	Mitochondria;Eukaryota (Mitochondria)	Eukaryota (Mitochondria)	16.5	None	5.0	2.0	None	28.0	9.0	21.0	None	None	None	7.5	None	None	4.0	None	18.0	9.25	None	3.0	22.0	35.6666666667	6.0	14.5	None	7.0	14.5	None	8.0	9.0	15.0	2.5	36.0	None	14.5	None	None	None	None	8.0	None	15.1666666667	None	None	18.25	23.0	None	25.5	8.0	None	None	5.0	None	None	None	None	None	19.125	37.25	None	5.5	None	None	9.5	None	13.0	11.0	37.25	11.25	38.0	None	None	None	6.0	None	5.5	None	26.5	None	None	None	12.5	2.0	13.0	None	None	None	None	None	None	None	13.0	27.0	31.25	None	None	39.0	None	None	25.6666666667	20.5	None	None	16.25	None	None	4.0	7.25	15.0	None	12.0	15.0	None	None	8.0	None	None	None	None	8.66666666667	5.0	13.0	None	None	15.0	None	36.0	7.0	3.0	None	10.0	None	None	5.0	None	None	None	37.0	21.125	9.0	20.0	3.0	None	None	None	None	9.0	None	None
