Rank	Taxonpath	Taxon	X018	X058	X134	X074	X089	X081	X106	X004	X069	X053	X132	X111	X131	X124	X085	X055	X016	X033	X023	X013	X001	X044	X066	X003	X040	X106b	X048	X127	X110	X107	X091	X026	X082	X076	X037	X130	X010	X092	X108b	X070	X075	X098	X122	X056	X068	X095	X090	X063	X137	X102	X133	X103	X120	X060	X087	X078	X114	X030	X042	X065	X009	X031	X104	X036	X135	X071	X006	X043	X099	X080	X136	X054	X117	X084	X041	X118	X049	X125	X046	X096b	X038	X007	X100b	X022	X105	X051	X093	X011	X012	X112b	X014	X086	X079	X021	X059	X020	X002	X039	X123	X121	X034	X005	X113	X035	X027	X128	X064	X032	X029	X096	X052	X045	X115	X015	X119	X094b	X116	X077	X047	X025	X109	X072	X024	X110b	X098b	X100	X017	X126	X101	X092b	X094	X112	X062	X008	X067	X057	X090b	X083	X028	X061	X019	X104b	X073	X050	X097	X108	X102b	X088	X129
root	root	root	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
meta	Main genome	Main genome	0.984464500856	0.341441564875	0.966940648354	0.974463203571	0.961669362281	0.951306185729	0.99754675696	0.959799487088	0.977863713925	0.849273225608	0.986797914021	0.998219639844	0.991644823679	0.924002934588	0.959602901162	0.654286300629	0.935350410978	0.982436812381	0.985107017877	0.9677841038	0.96612266541	0.895033376484	0.283600384149	0.9478678917	0.978057881156	0.997548688633	0.439774389956	0.990832541084	0.997678353229	0.99804931403	0.975502550557	0.983716205419	0.934386985508	0.99136076451	0.948733597803	0.990819691888	0.966294336665	0.996693974067	0.99682354757	0.969662982001	0.988759895459	0.992954676554	0.938813912551	0.822499276611	0.960515974893	0.952767980371	0.97105799762	0.870139562014	0.937430836861	0.997152608634	0.982228367487	0.99603583526	0.97512503924	0.807821419957	0.962678006653	0.919417578914	0.994910346954	0.960381456621	0.90325481622	0.66561398196	0.975417829184	0.979863354234	0.994974681233	0.932116065895	0.956135256416	0.972066023402	0.972034531784	0.916694485459	0.992554832077	0.928293897413	0.953621187155	0.936553996783	0.996040320238	0.9487163649	0.966192377431	0.994191759669	0.747354414853	0.906835689764	0.918661939211	0.995405654517	0.930447470817	0.983343956169	0.992410922661	0.981675796766	0.997592338285	0.798330696512	0.972655757015	0.963339132793	0.950135851676	0.999031995222	0.96106656123	0.919815408775	0.918541021364	0.915471831462	0.583210490559	0.980635614122	0.952077188041	0.976280428432	0.929396881074	0.941984042803	0.974251089478	0.979825781735	0.999544276108	0.975886382549	0.921708530361	0.986713282355	0.832440948022	0.979359167114	0.956118172293	0.9955416748	0.634646136976	0.90783815402	0.995301669611	0.918445922296	0.989064656292	0.960332908426	0.994120220576	0.986371670751	0.963199171233	0.974725994498	0.997701750993	0.981470196094	0.959420600328	0.998095577391	0.99341372668	0.993365109298	0.964402043323	0.984816466013	0.997592775725	0.99609120708	0.961886570543	0.999127597895	0.410018200522	0.926398681831	0.869724037556	0.821575774782	0.969153670447	0.946862870709	0.948283601917	0.545644584951	0.947636035433	0.994614876743	0.99256776588	0.896652330527	0.99246742671	0.996724911862	0.997023383052	0.954443576094	0.97285306093
meta	Chloroplast	Chloroplast	0.0145174131456	0.587397110125	0.0317636379463	0.0251876605402	0.0372788521646	0.0446582548964	0.00232866429222	0.0380644016134	0.0215381333927	0.147366398595	0.0131792951843	0.00142930322363	0.00800743347081	0.0704861813546	0.0397377438917	0.300561556687	0.0623179644996	0.0171533423073	0.0141786253606	0.0309518922248	0.0319036116185	0.0981899764591	0.622813890012	0.0499832117457	0.0210046594516	0.00232190013204	0.440954358805	0.00845991071311	0.00177648275214	0.00159758166614	0.0238320866181	0.0161848743332	0.060871579706	0.00858262188908	0.0491829154083	0.00885815137658	0.0322481873408	0.00300344050834	0.00253419167252	0.0300011395875	0.0106624749063	0.00465431680178	0.0564554964288	0.159191649788	0.0378912512706	0.0449690604575	0.0277161531056	0.11916382882	0.0608559477761	0.0023818043996	0.0161573187738	0.00340208167954	0.0218281825063	0.190882045509	0.0366255346345	0.0750132851525	0.00480301380686	0.0365785163568	0.0922156676705	0.305087495404	0.0227131131999	0.0195587117614	0.00479471140449	0.0650997585815	0.0421537741604	0.0261807981507	0.0271813211778	0.0770366566091	0.00595013708019	0.0642983109669	0.044458369112	0.0624556729921	0.00382884486252	0.0507122727097	0.0337808265673	0.00426186214642	0.242840807501	0.0863815116091	0.080664314168	0.00408273476232	0.0677998792433	0.0144737897354	0.0072601689525	0.0174319007549	0.00233632358973	0.190259228408	0.0260506499516	0.0349323270895	0.0468837899625	0.000785948833399	0.0389334387703	0.0786586766024	0.0759232785323	0.0806447974858	0.403381487701	0.0183426115143	0.0457190705464	0.0232716650438	0.0657158336871	0.0552989492494	0.0243877677635	0.0190355927488	0.000354451916066	0.0222412922016	0.0773858424597	0.0128047729147	0.163640533238	0.0203084036597	0.0419798642431	0.00400546554753	0.359624434596	0.0911775384243	0.00469623945385	0.0795351361771	0.00935510550414	0.0377364977441	0.00572833784453	0.0136082432812	0.0361290740306	0.0249072092922	0.00155871343565	0.0177285986952	0.0403404549836	0.00145385770008	0.00404781381112	0.00646188181763	0.0346501610808	0.0147278904884	0.0020819236975	0.00360767534363	0.0364553626303	0.000745176797739	0.572398512305	0.0690861624386	0.126385282003	0.163483718549	0.02943184205	0.047462034141	0.0487572489991	0.420022860909	0.0500647741464	0.00520036625359	0.00740383067761	0.103154107988	0.00737689212493	0.00253337700118	0.00248811307236	0.0454826960792	0.0259687602162
meta	Mitochondria	Mitochondria	0.000810241451953	0.0711613250003	0.000271080217362	4.98765555251e-05	0.000982328018178	0.00305425069243	0.000108607113766	0.00143223508241	0.000584242154462	0.00319961102768	2.27907950051e-05	0.000254337165108	0.000246785248225	0.0044140694503	0.000445761090629	0.0451521426839	0.0023316245221	0.000274483557307	0.000569676911809	0.00126400397567	0.0017254294636	0.00586449469984	0.0935857258391	0.00155978144745	0.000844641630622	0.000106904933381	0.119271251239	0.000541066272952	0.000263182629946	0.000301430503044	0.000369646013536	2.28277494122e-05	0.00371180725373	5.66136008515e-05	0.00083129018341	0.000278120922342	3.67430922986e-05	0.000123275543253	0.000510323470399	0.000329880583229	0.0	0.00158519777544	0.00321105558141	0.0183090736011	0.0011579046641	0.00167027938842	0.000777367832519	0.0100446907247	0.00140356754891	0.000373239138549	0.00153631615023	0.000133124935286	0.0014925746817	0.000944761598456	0.00045884338692	0.00447975342757	0.000286639239226	0.0025097897511	0.00373746957634	0.0240206787653	0.00158463580464	0.000475014250428	0.00023060736214	0.00231243814228	0.000760430855109	0.00060603699423	0.000443372858253	0.00588688450921	0.00115233036326	0.00640814055471	0.00101340636048	0.000592468300784	0.000125062771891	0.000393776782612	8.93200067883e-06	0.000100898434758	0.0098047776461	0.00528421640311	0.000614793791425	0.0001806879134	0.000989534415672	0.00112278450557	4.35319923867e-05	0.000888537489882	8.91726560967e-06	0.0114100750795	0.000641538008498	0.000768240052421	0.000861790369493	0.000117670305565	0.0	0.00145184109747	0.0043046620602	0.00381194409149	0.0133695666107	0.000831512930731	0.00148057929092	0.000438169425511	0.00394613373847	0.00180263027269	0.000864814459698	0.000860389957837	0.0	0.00182774607703	0.000892689648034	0.0	0.00390854795449	0.000222878685998	0.00184501845018	0.000163966425922	0.00549641339608	0.000831013756101	0.0	0.00198850522236	0.00107255986672	0.00170315400849	0.000146633910414	0.0	0.000194242333498	0.000340596480503	0.000682648219995	0.000764083733678	0.000197747328351	0.000209565073885	0.00194738369792	1.73008884006e-05	0.000907747895271	0.000353516507257	0.000156144277312	0.0001032403119	0.00133971799599	0.000118137785007	0.0174091952204	0.00130532938168	0.00383360444432	0.0149405066692	0.000800777147658	0.00490258883823	0.00224455580699	0.0343119587268	0.00227973872482	0.000184757003785	0.0	0.000193561484097	0.000119754742288	0.000510528445104	0.000390803100371	6.63550437206e-05	0.00115270471654
meta	No hits	No hits	0.00029943705833	0.0146706997038	0.000186523085341	3.74074166438e-05	4.96125261706e-05	0.00222971913668	0.000571784510709	0.0020167583746	0.00038022108465	0.00184291321447	0.000180254469586	0.00105675300995	0.00095348845905	0.00376816751528	0.000362180886136	0.00863789854667	0.000321874092276	0.00032712423953	0.000470209514509	0.00150167993691	0.0017254294636	0.00450547982439	0.0146204003235	0.00281737431702	0.000761105645176	0.000553279918377	0.00737480530514	0.00123985226919	0.000427671773663	0.000624391756306	0.00143825903448	1.52184996081e-05	0.00361399263816	0.000362327045449	0.000757631559564	0.0	0.00258426415834	0.0	5.47664212135e-05	0.000389858871089	9.46933828264e-06	0.0030250857548	0.00303300082957	0.0197264961566	0.00247823034444	0.00210131923059	0.00276264568172	0.00439187160638	0.00133503893441	0.000492521749837	0.000146540925099	0.0018884018598	0.00084354543301	0.00671383774222	0.000303164380643	0.00331597406738	0.000342040100589	0.00128828018523	0.00275978713749	0.0290065107828	0.002722323049	0.000874817911204	0.000192172801783	0.00180370175098	0.00188436437173	0.000939357341056	0.00105896492591	0.0020575207036	0.00190627141878	0.0031121212407	0.000495099290616	0.00353751146015	0.000392504699474	6.9490020461e-05	0.00045553203462	0.000296114971573	0.0122871577372	0.00336446401199	0.000631637456943	5.88758369505e-05	0.00171072051523	0.00120720439321	0.000848873851541	0.00056851339395	0.000187262577803	0.00531650240109	0.000788776239956	0.000790835348081	0.00108920727255	0.000197597305572	0.00200165569051	0.00173332049392	0.00436819950758	0.00193980586904	0.00838321818159	0.000591924459164	0.00216568024816	4.86854917235e-05	0.00399081748922	0.00226504412525	0.00200787357165	0.000547910022901	1.01271976019e-05	0.000479226105563	0.00103500249047	0.000714607703222	0.00346983338817	0.000166214613287	0.000964268901948	4.68475502635e-05	0.00416685703842	0.00136350800758	0.000284367126324	3.55090218279e-05	0.000660220184623	0.00170579865758	0.000954322334989	0.000220945647371	0.000558446708806	0.000253264049605	0.000125152173666	0.000788831384971	0.000362536768644	0.000340543245063	0.00305037338048	0.000890995752632	0.000329281099265	0.000274957283422	0.000130120231094	4.58845830669e-05	0.00159616566519	0.000172662916549	0.0133259476141	0.00469704588982	0.032856748761	0.0280406998261	0.00265831758034	0.00348569921242	0.0011360200819	0.00653904375496	0.000778067824172	0.000222795210446	0.000255630982475	0.00557079393256	0.000323337804177	4.81630608588e-05	0.000468963720446	0.00023592904434	0.00397608827638
domain	Main genome;Bacteria	Bacteria	0.967343746697	0.320510523487	0.885832949925	0.914598867802	0.875105426618	0.916333273332	0.81494625545	0.925364638483	0.940263558127	0.845512898432	0.773347615565	0.701443990299	0.38454376512	0.869642365317	0.851542983442	0.652125893174	0.902075695366	0.979755897636	0.865863693496	0.920432570249	0.945960390873	0.861979370615	0.275197128993	0.934977564787	0.962603723849	0.807721161925	0.434145938547	0.389885346523	0.810644797443	0.774607494424	0.927038597765	0.872438536285	0.888728152591	0.922077039788	0.927477823493	0.368496316057	0.846646580443	0.950813058242	0.409349125978	0.952281274179	0.892362031741	0.886847702124	0.869653804909	0.818637009826	0.907959677673	0.875893682365	0.904144566498	0.824393758739	0.86127777947	0.858326888224	0.904493133849	0.848015698881	0.811573520377	0.774262281901	0.828835029415	0.867748963758	0.762450741408	0.956249533588	0.867538467885	0.648904414787	0.884985237154	0.978062258534	0.633891595323	0.905939266125	0.85463653912	0.947629746027	0.956285634719	0.878086281055	0.920245030843	0.871408093401	0.872334006359	0.933219740871	0.762488479795	0.807018492067	0.950329144225	0.793621025479	0.738888542381	0.844152346065	0.793025038109	0.928413072872	0.904971152556	0.951994630895	0.843928133517	0.974108168144	0.569251484725	0.790196615551	0.906356484792	0.864891429604	0.874166636743	0.383414259421	0.889859513425	0.811164361745	0.861325549996	0.874247197432	0.504710753336	0.971675709957	0.930827640018	0.962804284323	0.834712013226	0.877303578613	0.971013675349	0.949686449928	0.22765940209	0.972123157394	0.897761160238	0.310239455901	0.736880938849	0.976661957253	0.951418310479	0.924349014249	0.629094896514	0.78201621687	0.741510282172	0.878396818392	0.81030229504	0.870684593861	0.782022682583	0.899509902382	0.858559207491	0.848862495088	0.373772655388	0.955986302175	0.81178574077	0.802445624412	0.897717497427	0.838297246564	0.945018955912	0.390315611682	0.861630146255	0.954723387659	0.869211688708	0.380012904281	0.344765371528	0.777944213218	0.865291135146	0.817885008289	0.904251339004	0.882884274786	0.94263556659	0.536860641135	0.924422381899	0.633879543868	0.926037435737	0.891416728433	0.917381203296	0.399917159535	0.857576152326	0.858781721397	0.502490096929
domain	Main genome;Eukaryota	Eukaryota	0.000880697230383	0.0205410874445	0.000300923911016	0.000835432305045	0.00101209553388	0.004082011857	0.00470524348757	0.00334800252171	0.00237406335782	0.00192917723728	0.000312855458706	0.00257202935982	0.000517875104229	0.00161353615467	0.00298102729358	0.00194026230854	0.00190769279081	0.00212818758131	0.00245955746051	0.00192301459546	0.00324464906448	0.00622382744657	0.00817579862515	0.00240529898355	0.00054762479348	0.0017461139119	0.00562845140888	0.000258485102058	0.00301250117492	0.00228225952305	0.00204985516597	9.89202474528e-05	0.00330510437849	0.00037364976562	0.00350404596298	0.000403275337395	0.00585439937292	0.000616377716265	0.000709474092993	0.00228517276746	0.000388242869588	0.00398501107437	0.000819456528337	0.00344291100012	0.00125745302889	0.00583561632481	0.00195537908641	0.0236148877585	0.000236043005513	0.00375163051634	0.000233992767496	0.00297805410789	0.00300633429436	0.0324234140066	0.00121265752257	0.00406525666915	0.000869552650088	0.00254513890253	0.00473165298461	0.00307153208886	0.00269523525747	0.00148837798467	0.00218116130024	0.00410689014069	0.000311275267613	0.0039219251198	0.00132279009776	0.00464466842139	0.00557316655243	0.00299423786037	0.00060920420525	0.00216229306855	0.00205102945902	0.0010500714203	0.00403726430683	0.00250271987085	0.00642840807501	0.00109210403883	0.00416038538307	0.0001806879134	0.00957668053133	0.001768596646	0.000239425958127	0.000982662223979	0.00114140999804	0.00579168926134	0.00124100795086	0.00373952143164	0.00383017941997	0.00062831502783	0.00207579108645	0.0015925807957	0.00424112461282	0.00204130733893	0.0783587350826	0.00141639067014	0.00308295430757	0.000856864654333	0.00134609799147	0.00222063149535	0.00262828394491	0.0021830789975	0.00235963704124	0.00282334759867	0.000465751120714	0.000297060760351	0.0911728635099	0.00250077440899	0.00255493295674	0.000554362678118	0.0036048796089	0.00154100609141	0.000763191184619	0.00143557902533	0.003100889748	0.00376598029208	0.000980764515555	0.000883782589483	0.00070412845893	0.000157198375617	0.00474440512896	0.00256756882167	0.00102169452981	0.00130716214836	0.00162545847956	0.00132351796265	0.00139721979958	0.000229785729717	0.000286264508406	0.000108975884784	0.00569048534932	0.00278078170864	0.0652053493709	0.00617356601008	0.00442338974344	0.0015665478659	0.00124711195127	0.00411124090892	0.00214377983198	0.00759970754513	0.00186347243889	0.000412986243754	0.000785828575757	0.00518839197617	0.000778405824871	0.00325582291406	0.00138517987798	0.00154828435348	0.000443674559404
domain	Main genome;Archaea	Archaea	0.0162400569283	0.000389953943278	0.0808067745185	0.0590289034639	0.0855518401286	0.0308909005394	0.177895258022	0.0310868460837	0.0352260924401	0.00183114993863	0.213137442997	0.294203620185	0.606583183455	0.0527470331165	0.105078890426	0.000220145146546	0.0313670228217	0.000552727163344	0.116783766921	0.0454285189547	0.0169176254724	0.0268301784225	0.00022745653053	0.0104850279296	0.0149065325141	0.188081412796	0.0	0.600688709458	0.18402105461	0.221159560084	0.0464140976269	0.111178748887	0.0423537285387	0.0689100749564	0.017751728347	0.621920100494	0.113793356849	0.045264538109	0.586764947499	0.0150965350543	0.0960096208477	0.102121963356	0.0683406511139	0.000419355785642	0.0512988441911	0.0710386816812	0.0649580520358	0.0221309155165	0.0759170143859	0.135074089893	0.0775012408707	0.145042082271	0.160545184569	0.00113572404921	0.132630319716	0.0476033584866	0.231590052896	0.00158678413059	0.0309846953509	0.0136380350847	0.0877373567733	0.000312717714865	0.358901924611	0.0220699096299	0.101187442028	0.0205143522547	0.0144261069665	0.0339635359825	0.0667366346813	0.0538915661514	0.0806779765911	0.00117196284316	0.231500810984	0.140647801413	0.0118259688988	0.198068014319	0.00203746439635	0.0615912396605	0.121476515719	0.0668118937311	0.0158996377298	0.0295807286281	0.148243363185	0.00658496639747	0.427199443563	0.00234239169932	0.0650582642716	0.0947081817566	0.0721390355129	0.614989420773	0.0691312567185	0.107058466234	0.0529743467556	0.0391833266919	0.000141002140669	0.00754351349447	0.0181665937161	0.0126192794547	0.0933387698563	0.062459832695	0.000609130184657	0.0279562528091	0.769525236976	0.000939877555873	0.0234816190026	0.676176765694	0.00438714566321	0.000196435452066	0.0021449288567	0.0706382978723	0.00194636085347	0.124280931058	0.253028196255	0.0386135248791	0.175661471504	0.0858823342731	0.211116773477	0.0859779857791	0.103935835283	0.125706301035	0.619184690476	0.0229163250975	0.146613165028	0.19434279083	0.0940707707734	0.153744344772	0.0179858676112	0.594271068602	0.135676364961	0.0412588435364	0.0869843964858	0.616333911906	4.74796233283e-05	0.142280902603	9.51266611493e-06	0.00212421862722	0.0636552194917	0.0598673550138	0.00350425549458	0.00118423627058	0.0213501810953	0.360322346631	0.0657445015669	4.72101180725e-05	0.0743078175896	0.593551929412	0.138062050848	0.0941135703437	0.469919289441
domain	Chloroplast;Eukaryota (Chloroplast)	Eukaryota (Chloroplast)	0.0145174131456	0.587397110125	0.0317636379463	0.0251876605402	0.0372788521646	0.0446582548964	0.00232866429222	0.0380644016134	0.0215381333927	0.147366398595	0.0131792951843	0.00142930322363	0.00800743347081	0.0704861813546	0.0397377438917	0.300561556687	0.0623179644996	0.0171533423073	0.0141786253606	0.0309518922248	0.0319036116185	0.0981899764591	0.622813890012	0.0499832117457	0.0210046594516	0.00232190013204	0.440954358805	0.00845991071311	0.00177648275214	0.00159758166614	0.0238320866181	0.0161848743332	0.060871579706	0.00858262188908	0.0491829154083	0.00885815137658	0.0322481873408	0.00300344050834	0.00253419167252	0.0300011395875	0.0106624749063	0.00465431680178	0.0564554964288	0.159191649788	0.0378912512706	0.0449690604575	0.0277161531056	0.11916382882	0.0608559477761	0.0023818043996	0.0161573187738	0.00340208167954	0.0218281825063	0.190882045509	0.0366255346345	0.0750132851525	0.00480301380686	0.0365785163568	0.0922156676705	0.305087495404	0.0227131131999	0.0195587117614	0.00479471140449	0.0650997585815	0.0421537741604	0.0261807981507	0.0271813211778	0.0770366566091	0.00595013708019	0.0642983109669	0.044458369112	0.0624556729921	0.00382884486252	0.0507122727097	0.0337808265673	0.00426186214642	0.242840807501	0.0863815116091	0.080664314168	0.00408273476232	0.0677998792433	0.0144737897354	0.0072601689525	0.0174319007549	0.00233632358973	0.190259228408	0.0260506499516	0.0349323270895	0.0468837899625	0.000785948833399	0.0389334387703	0.0786586766024	0.0759232785323	0.0806447974858	0.403381487701	0.0183426115143	0.0457190705464	0.0232716650438	0.0657158336871	0.0552989492494	0.0243877677635	0.0190355927488	0.000354451916066	0.0222412922016	0.0773858424597	0.0128047729147	0.163640533238	0.0203084036597	0.0419798642431	0.00400546554753	0.359624434596	0.0911775384243	0.00469623945385	0.0795351361771	0.00935510550414	0.0377364977441	0.00572833784453	0.0136082432812	0.0361290740306	0.0249072092922	0.00155871343565	0.0177285986952	0.0403404549836	0.00145385770008	0.00404781381112	0.00646188181763	0.0346501610808	0.0147278904884	0.0020819236975	0.00360767534363	0.0364553626303	0.000745176797739	0.572398512305	0.0690861624386	0.126385282003	0.163483718549	0.02943184205	0.047462034141	0.0487572489991	0.420022860909	0.0500647741464	0.00520036625359	0.00740383067761	0.103154107988	0.00737689212493	0.00253337700118	0.00248811307236	0.0454826960792	0.0259687602162
domain	Mitochondria;Eukaryota (Mitochondria)	Eukaryota (Mitochondria)	0.000810241451953	0.0711613250003	0.000271080217362	4.98765555251e-05	0.000982328018178	0.00305425069243	0.000108607113766	0.00143223508241	0.000584242154462	0.00319961102768	2.27907950051e-05	0.000254337165108	0.000246785248225	0.0044140694503	0.000445761090629	0.0451521426839	0.0023316245221	0.000274483557307	0.000569676911809	0.00126400397567	0.0017254294636	0.00586449469984	0.0935857258391	0.00155978144745	0.000844641630622	0.000106904933381	0.119271251239	0.000541066272952	0.000263182629946	0.000301430503044	0.000369646013536	2.28277494122e-05	0.00371180725373	5.66136008515e-05	0.00083129018341	0.000278120922342	3.67430922986e-05	0.000123275543253	0.000510323470399	0.000329880583229	0.0	0.00158519777544	0.00321105558141	0.0183090736011	0.0011579046641	0.00167027938842	0.000777367832519	0.0100446907247	0.00140356754891	0.000373239138549	0.00153631615023	0.000133124935286	0.0014925746817	0.000944761598456	0.00045884338692	0.00447975342757	0.000286639239226	0.0025097897511	0.00373746957634	0.0240206787653	0.00158463580464	0.000475014250428	0.00023060736214	0.00231243814228	0.000760430855109	0.00060603699423	0.000443372858253	0.00588688450921	0.00115233036326	0.00640814055471	0.00101340636048	0.000592468300784	0.000125062771891	0.000393776782612	8.93200067883e-06	0.000100898434758	0.0098047776461	0.00528421640311	0.000614793791425	0.0001806879134	0.000989534415672	0.00112278450557	4.35319923867e-05	0.000888537489882	8.91726560967e-06	0.0114100750795	0.000641538008498	0.000768240052421	0.000861790369493	0.000117670305565	0.0	0.00145184109747	0.0043046620602	0.00381194409149	0.0133695666107	0.000831512930731	0.00148057929092	0.000438169425511	0.00394613373847	0.00180263027269	0.000864814459698	0.000860389957837	0.0	0.00182774607703	0.000892689648034	0.0	0.00390854795449	0.000222878685998	0.00184501845018	0.000163966425922	0.00549641339608	0.000831013756101	0.0	0.00198850522236	0.00107255986672	0.00170315400849	0.000146633910414	0.0	0.000194242333498	0.000340596480503	0.000682648219995	0.000764083733678	0.000197747328351	0.000209565073885	0.00194738369792	1.73008884006e-05	0.000907747895271	0.000353516507257	0.000156144277312	0.0001032403119	0.00133971799599	0.000118137785007	0.0174091952204	0.00130532938168	0.00383360444432	0.0149405066692	0.000800777147658	0.00490258883823	0.00224455580699	0.0343119587268	0.00227973872482	0.000184757003785	0.0	0.000193561484097	0.000119754742288	0.000510528445104	0.000390803100371	6.63550437206e-05	0.00115270471654
