Rank	Taxonpath	Taxon	X018	X058	X134	X074	X089	X081	X106	X004	X069	X053	X132	X111	X131	X124	X085	X055	X016	X033	X023	X013	X001	X044	X066	X003	X040	X106b	X048	X127	X110	X107	X091	X026	X082	X076	X037	X130	X010	X092	X108b	X070	X075	X098	X122	X056	X068	X095	X090	X063	X137	X102	X133	X103	X120	X060	X087	X078	X114	X030	X042	X065	X009	X031	X104	X036	X135	X071	X006	X043	X099	X080	X136	X054	X117	X084	X041	X118	X049	X125	X046	X096b	X038	X007	X100b	X022	X105	X051	X093	X011	X012	X112b	X014	X086	X079	X021	X059	X020	X002	X039	X123	X121	X034	X005	X113	X035	X027	X128	X064	X032	X029	X096	X052	X045	X115	X015	X119	X094b	X116	X077	X047	X025	X109	X072	X024	X110b	X098b	X100	X017	X126	X101	X092b	X094	X112	X062	X008	X067	X057	X090b	X083	X028	X061	X019	X104b	X073	X050	X097	X108	X102b	X088	X129
root	root	root	1256	278	676	335	469	1043	2284	940	708	307	893	1935	1030	1196	481	264	614	603	521	307	801	826	182	999	233	2283	309	1147	1916	1911	828	383	999	314	408	931	370	446	1152	735	282	1326	1198	211	855	1210	867	1057	754	1950	570	1845	2095	282	491	1170	1867	702	853	261	347	538	1054	406	649	736	834	914	1365	1057	673	383	1842	491	219	1945	335	1085	450	562	398	769	554	1070	972	276	449	355	359	1267	306	574	1140	1120	271	1295	937	230	1213	1506	642	748	885	867	482	1159	272	537	664	492	521	465	1471	584	2028	1076	1776	306	351	414	977	784	466	1945	1169	500	1185	1690	632	510	1072	1086	322	518	222	242	890	1122	609	253	1126	1165	379	226	532	1035	1974	486	1262
meta	Main genome	Main genome	1170	233	572	243	378	888	2226	765	606	276	865	1897	1012	1012	393	223	519	523	431	237	638	611	149	796	174	2234	259	1128	1876	1878	693	324	844	266	301	916	282	395	1132	646	231	1249	1020	183	706	1031	721	872	631	1897	521	1795	1999	250	387	973	1829	551	632	228	265	444	1021	291	540	620	696	703	1290	872	559	339	1810	390	162	1910	278	893	322	521	273	651	521	1002	946	242	353	272	263	1250	229	450	963	958	223	1220	745	167	1030	1314	516	636	874	759	378	1135	230	451	527	459	463	322	1451	488	1971	943	1744	249	264	333	957	689	378	1907	1099	474	1064	1648	614	444	938	1073	268	390	195	206	740	968	463	226	973	1132	321	200	484	1018	1919	383	1213
meta	Chloroplast	Chloroplast	68	35	97	88	84	126	48	155	95	23	26	30	15	155	82	35	81	69	76	67	136	178	27	183	56	39	36	13	31	25	119	55	124	46	93	13	84	48	15	80	49	57	144	21	129	154	131	159	111	46	45	42	74	26	95	168	29	129	183	26	74	82	30	104	101	102	125	176	61	149	105	36	27	94	55	27	45	160	116	38	112	102	29	56	23	26	89	79	88	14	77	112	148	131	37	61	168	61	154	163	108	97	9	92	95	22	37	77	119	31	44	129	19	86	46	119	28	56	80	72	14	82	80	28	54	23	100	33	13	63	122	11	43	118	22	30	138	122	124	17	131	30	57	22	44	14	44	98	44
meta	Mitochondria	Mitochondria	16	10	5	2	6	24	7	17	6	7	2	7	1	25	4	6	14	9	11	3	21	33	6	14	1	7	14	3	6	7	13	2	28	2	10	1	1	2	3	8	0	15	27	7	16	21	12	25	8	6	2	5	16	5	6	24	9	19	35	5	5	9	3	9	5	11	10	31	11	30	5	6	4	6	1	5	12	26	10	1	8	12	2	11	1	8	3	2	4	2	0	11	23	29	10	12	21	1	22	25	16	13	0	14	8	0	4	7	15	1	12	11	0	9	8	12	3	0	3	8	5	11	6	8	13	2	18	7	3	2	10	1	10	5	4	6	9	28	20	9	20	3	0	4	3	2	9	4	3
meta	No hits	No hits	6	11	2	2	1	21	20	25	12	8	5	15	3	33	4	8	4	6	7	8	23	20	7	32	2	19	10	10	10	15	21	1	27	3	7	0	9	0	2	14	1	26	30	7	23	21	24	39	10	21	5	24	12	6	5	28	12	19	24	5	7	8	3	10	4	17	18	25	22	30	5	5	11	2	5	7	16	32	9	2	11	15	8	6	4	6	5	11	4	4	6	6	43	20	12	7	29	1	34	29	16	13	1	10	6	3	3	7	16	2	15	11	8	3	15	18	14	2	4	1	2	11	4	11	26	5	10	10	2	2	16	3	16	12	4	10	30	26	17	6	14	3	3	5	7	1	24	5	10
domain	Main genome;Bacteria	Bacteria	1114	194	482	194	307	770	1929	639	523	252	678	1653	805	854	304	200	486	478	338	178	540	482	128	668	156	1951	226	700	1632	1654	594	272	731	226	253	708	193	338	923	562	187	1058	899	155	619	881	624	667	548	1610	428	1548	1678	210	317	837	1597	484	498	204	184	409	862	227	441	526	615	562	1089	742	479	298	1600	314	136	1669	235	779	264	458	224	562	446	956	809	219	304	185	177	1030	170	370	824	882	179	1161	626	142	876	1123	460	560	662	705	305	747	193	406	454	399	421	268	1261	453	1718	816	1526	203	223	276	767	590	295	1676	973	394	996	937	554	388	803	878	231	273	168	183	655	840	395	200	898	971	270	170	415	808	1647	305	918
domain	Main genome;Eukaryota	Eukaryota	35	33	23	20	30	80	174	94	57	15	24	116	35	52	46	20	22	33	46	33	78	109	18	104	9	151	33	18	126	111	62	9	70	9	35	10	59	8	51	57	12	148	61	23	57	99	67	172	22	185	18	149	180	36	26	91	64	58	116	13	52	26	54	49	32	66	60	117	163	84	17	33	70	28	20	109	39	42	38	12	36	58	25	28	30	20	23	58	59	50	36	41	99	53	41	41	92	13	75	121	49	50	41	43	12	22	32	37	65	14	34	32	37	26	130	75	63	16	21	11	49	68	24	106	84	32	45	28	12	7	88	48	35	85	26	21	50	72	57	23	52	41	23	28	21	59	162	36	36
domain	Main genome;Archaea	Archaea	21	6	67	29	41	38	123	32	26	9	163	128	172	106	43	3	11	12	47	26	20	20	3	24	9	132	0	410	118	113	37	43	43	31	13	198	30	49	158	27	32	43	60	5	30	51	30	33	61	102	75	98	141	4	44	45	168	9	18	11	29	9	105	15	67	28	21	24	38	46	63	8	140	48	6	132	4	72	20	51	13	31	50	18	107	3	26	29	27	170	23	39	40	23	3	18	27	12	79	70	7	26	171	11	61	366	5	8	8	46	8	22	153	9	123	52	155	30	20	46	141	31	59	125	42	48	23	683	48	49	47	147	2	32	1	2	35	56	11	3	23	120	28	2	48	151	110	42	259
domain	Chloroplast;Eukaryota (Chloroplast)	Eukaryota (Chloroplast)	68	35	97	88	84	126	48	155	95	23	26	30	15	155	82	35	81	69	76	67	136	178	27	183	56	39	36	13	31	25	119	55	124	46	93	13	84	48	15	80	49	57	144	21	129	154	131	159	111	46	45	42	74	26	95	168	29	129	183	26	74	82	30	104	101	102	125	176	61	149	105	36	27	94	55	27	45	160	116	38	112	102	29	56	23	26	89	79	88	14	77	112	148	131	37	61	168	61	154	163	108	97	9	92	95	22	37	77	119	31	44	129	19	86	46	119	28	56	80	72	14	82	80	28	54	23	100	33	13	63	122	11	43	118	22	30	138	122	124	17	131	30	57	22	44	14	44	98	44
domain	Mitochondria;Eukaryota (Mitochondria)	Eukaryota (Mitochondria)	16	10	5	2	6	24	7	17	6	7	2	7	1	25	4	6	14	9	11	3	21	33	6	14	1	7	14	3	6	7	13	2	28	2	10	1	1	2	3	8	0	15	27	7	16	21	12	25	8	6	2	5	16	5	6	24	9	19	35	5	5	9	3	9	5	11	10	31	11	30	5	6	4	6	1	5	12	26	10	1	8	12	2	11	1	8	3	2	4	2	0	11	23	29	10	12	21	1	22	25	16	13	0	14	8	0	4	7	15	1	12	11	0	9	8	12	3	0	3	8	5	11	6	8	13	2	18	7	3	2	10	1	10	5	4	6	9	28	20	9	20	3	0	4	3	2	9	4	3
