Rank	Taxonpath	Taxon	001	002	003	004	005	006	007	008	009	010	011	012	013	014	015	016	017	018	019	020	021	022	023	024	025	026	027	028	029	030	031	032	033	034	035	036	037	038	039	040	041	042	043	044	045	046	047	048	049	050	051	052	053	054	055	056	057	058	059	060	061	062	063	064	065	066	067	068	069	070	071	072	073	074	075	076	077	078	079	080	081	082	083	084	085	086	087	088	089	090	091	092	093	094	095	096	097	098	099	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	100b	102b	104b	106b	108b	110b	112b	090b	092b	094b	096b	098b
root	root	root	228367	248626	308971	311806	227825	264056	232227	86162	71801	78503	84960	79189	89354	77577	179750	236785	213188	272863	239050	270457	238615	254939	107891	115572	111114	128747	141503	206347	250555	243050	246691	258027	259815	258042	261049	100301	89893	109780	100156	105298	107698	216760	282373	192366	112017	108413	118779	73305	177782	188674	141465	137009	215567	215487	174786	195184	161466	30374	39361	77123	52188	21747	97060	74305	61701	21777	90897	182492	209615	160675	223337	315356	104631	78027	104361	87447	98023	171490	229294	195761	162464	180178	248931	122599	102909	123795	117219	129128	96706	161625	288883	88803	92149	215074	227186	127299	82630	222620	227977	114408	76358	252992	198609	102621	111091	303691	226693	102309	86608	207756	273100	108734	97831	401675	468975	404701	504942	443282	404930	498865	356525	461750	331036	377342	369260	487158	444884	468942	453327	423951	526368	474388	414792	388360	457342	492305	368631	409390	449640	363276	518759	396858	373620	446117	294128	347026	359644	489607	186297
meta	Main genome	Main genome	228324	248473	308821	311582	227760	263981	231979	85862	71780	78387	84875	79013	89354	77577	179744	236785	213179	272804	239045	270403	238596	254939	107875	115567	111111	128737	141501	206191	250546	242921	246682	257998	259779	257910	261037	100250	89774	109698	100156	105295	107696	216568	282254	192169	111998	108406	118742	73305	177782	188674	141465	136958	215526	215395	174786	195184	161466	30374	39358	77088	52186	21736	96984	74304	61213	21777	90891	182415	209612	160674	223096	315345	104628	78003	104300	87447	98021	171305	228999	195553	162295	179983	248726	122576	102886	123785	117190	129127	96699	161552	288834	88787	92087	215002	227044	127262	82627	222439	227897	114390	76347	252968	198531	102621	111090	303689	226681	102285	86608	207697	273073	108733	97821	401675	468974	404701	504939	442623	404718	498089	356175	461025	330703	376892	368650	487106	444811	468710	453315	423932	526314	474388	414759	387948	456887	491836	368509	409272	449598	363276	518750	396807	373534	446088	293945	346957	359558	489444	186185
domain	Main genome;Bacteria	Bacteria	224305	243707	305391	301442	221232	260047	224980	72567	65304	69098	76506	72989	85149	71987	172165	228838	209176	268317	233587	268371	228226	253280	95131	98040	96899	114303	138265	205428	249981	242518	246607	257948	259642	257749	260787	97866	88087	107813	98861	103689	106373	209062	271682	186348	96622	94001	105911	73305	177293	188664	141046	136545	215082	215126	174730	195091	161047	30339	39348	76975	52071	21735	94456	73864	59957	21762	90890	172630	202017	158158	218362	307947	97702	73275	94169	81386	89477	162373	215690	184176	156993	171762	232929	104413	91587	109357	101007	116380	88082	150693	275027	84761	85908	195334	209919	118225	76428	199262	212325	96648	65928	217929	169219	65307	63236	248081	175348	40704	32211	168622	191062	40960	21909	306491	348619	317329	385196	352598	331080	414856	332329	427306	297304	355288	343560	193742	174846	146171	233404	156245	202510	371795	382080	355606	408520	450183	338662	348065	386148	230796	418623	161242	299499	169270	274557	332595	327098	456585	168376
domain	Main genome;Archaea	Archaea	4019	4766	3430	10140	6528	3934	6999	13295	6476	9289	8369	6024	4205	5590	7579	7947	4003	4487	5458	2032	10370	1659	12744	17527	14212	14434	3236	763	565	403	75	50	137	161	250	2384	1687	1885	1295	1606	1323	7506	10572	5821	15376	14405	12831	0	489	10	419	413	444	269	56	93	419	35	10	113	115	1	2528	440	1256	15	1	9785	7595	2516	4734	7398	6926	4728	10131	6061	8544	8932	13309	11377	5302	8221	15797	18163	11299	14428	16183	12747	8617	10859	13807	4026	6179	19668	17125	9037	6199	23177	15572	17742	10419	35039	29312	37314	47854	55608	51333	61581	54397	39075	82011	67773	75912	95184	120355	87372	119743	90025	73638	83233	23846	33719	33399	21604	25090	293364	269965	322539	219911	267687	323804	102593	32679	32342	48367	41653	29847	61207	63450	132480	100127	235565	74035	276818	19388	14362	32460	32859	17809
superkingdom	Main genome;Bacteria;Bacteria (superkingdom)	Bacteria (superkingdom)	224305	243707	305391	301442	221232	260047	224980	72567	65304	69098	76506	72989	85149	71987	172165	228838	209176	268317	233587	268371	228226	253280	95131	98040	96899	114303	138265	205428	249981	242518	246607	257948	259642	257749	260787	97866	88087	107813	98861	103689	106373	209062	271682	186348	96622	94001	105911	73305	177293	188664	141046	136545	215082	215126	174730	195091	161047	30339	39348	76975	52071	21735	94456	73864	59957	21762	90890	172630	202017	158158	218362	307947	97702	73275	94169	81386	89477	162373	215690	184176	156993	171762	232929	104413	91587	109357	101007	116380	88082	150693	275027	84761	85908	195334	209919	118225	76428	199262	212325	96648	65928	217929	169219	65307	63236	248081	175348	40704	32211	168622	191062	40960	21909	306491	348619	317329	385196	352598	331080	414856	332329	427306	297304	355288	343560	193742	174846	146171	233404	156245	202510	371795	382080	355606	408520	450183	338662	348065	386148	230796	418623	161242	299499	169270	274557	332595	327098	456585	168376
superkingdom	Main genome;Archaea;Archaea (superkingdom)	Archaea (superkingdom)	4019	4766	3430	10140	6528	3934	6999	13295	6476	9289	8369	6024	4205	5590	7579	7947	4003	4487	5458	2032	10370	1659	12744	17527	14212	14434	3236	763	565	403	75	50	137	161	250	2384	1687	1885	1295	1606	1323	7506	10572	5821	15376	14405	12831	0	489	10	419	413	444	269	56	93	419	35	10	113	115	1	2528	440	1256	15	1	9785	7595	2516	4734	7398	6926	4728	10131	6061	8544	8932	13309	11377	5302	8221	15797	18163	11299	14428	16183	12747	8617	10859	13807	4026	6179	19668	17125	9037	6199	23177	15572	17742	10419	35039	29312	37314	47854	55608	51333	61581	54397	39075	82011	67773	75912	95184	120355	87372	119743	90025	73638	83233	23846	33719	33399	21604	25090	293364	269965	322539	219911	267687	323804	102593	32679	32342	48367	41653	29847	61207	63450	132480	100127	235565	74035	276818	19388	14362	32460	32859	17809
kingdom	Main genome;Bacteria;Bacteria (superkingdom);Proteobacteria superphylum	Proteobacteria superphylum	78708	92186	111635	110213	67929	81619	66768	33918	39325	29737	40489	38195	44637	37914	57744	71012	55693	64118	71777	42801	88391	47612	38460	42420	24848	32329	80867	74545	81378	77549	52535	54224	49627	65029	64545	60976	53853	68107	65212	68830	76927	80026	98236	63863	50364	49829	55603	54693	128821	127673	121458	104849	193917	146328	134672	152207	110466	21692	29627	55289	44704	17818	32655	40895	37380	17788	74945	49887	44960	25576	39379	56136	57455	39906	48703	38616	42439	53074	66847	59566	42251	56155	78601	50190	48839	53398	47554	51954	44990	50647	105231	50327	45480	67168	66973	64912	38709	96409	95646	51689	36104	91887	74714	33078	37645	108160	78102	27715	22783	76405	90847	25800	13473	138169	196162	136733	154854	144760	131746	147896	120318	179612	113914	137011	146533	116009	112474	85647	99149	90760	131136	182781	169192	205947	263402	265179	192825	192941	161904	121470	182049	112316	134760	108569	92946	201861	113270	257789	81713
kingdom	Main genome;Bacteria;Bacteria (superkingdom);Terrabacteria	Terrabacteria	111131	110498	138813	132766	106570	118535	106360	27908	22251	33867	29304	26479	32671	19272	48180	61248	54343	82289	70774	98658	64321	95216	24252	12667	8220	12010	27780	71225	86519	90771	98175	104585	105926	94333	98545	11669	12124	11469	10818	8855	11371	69458	86869	67188	20191	19301	15296	4017	13731	271	681	3140	2323	5719	5568	1195	2332	958	1867	1395	1673	1131	27805	15158	11437	1014	1277	62474	92187	86239	123212	159726	25816	23158	18130	19074	16115	63246	98508	83229	80977	77422	87909	19463	20834	17956	14182	16572	16167	68563	123066	18601	27745	82231	96446	33599	22046	23626	22927	30545	14657	27166	33275	12638	13089	21224	11467	3527	2875	8004	8277	2584	1551	15712	16389	20698	23682	25506	22700	37667	56735	143499	110533	121339	110474	32554	29922	19728	54847	30877	24476	92445	79118	70840	82390	98883	65033	102690	48151	41102	35227	12688	14178	10126	122737	67805	135107	122199	19463
kingdom	Main genome;Bacteria;Bacteria (superkingdom);FCB group	FCB group	25995	30937	41044	43158	35008	44197	38801	10315	3386	5312	6376	7701	7270	14093	63401	92414	95474	115686	85361	119338	67096	104347	32286	42613	63640	69607	29077	54251	75152	67071	88701	91557	96973	90104	91119	24301	19632	26887	22517	25384	17592	54611	79982	51068	25853	24753	34922	14478	34460	60715	18750	28265	18233	62693	33946	41664	48247	7577	7824	20119	5565	2694	26788	15089	9865	2795	14668	47341	52879	36592	45827	79377	14021	9928	26997	23424	30143	34553	34768	31310	25199	27733	49458	34252	21424	37563	38644	47455	26571	24303	36771	15503	11870	36763	36203	18889	15237	54131	62510	14054	14494	54423	32819	15933	9765	51041	37828	8127	5450	35722	35951	9668	6252	68021	67447	73402	96755	86399	86092	148905	101493	84192	57701	80236	70954	38950	28534	35610	72193	29489	41624	90288	128842	75663	60482	83319	75426	51153	98826	56530	87708	31044	64703	39786	45828	61641	63289	73586	46810
kingdom	Main genome;Bacteria;Bacteria (superkingdom);Acidobacteria superphylum	Acidobacteria superphylum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	17	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	210	0	0	0	0	0	0	0	0	0	0	0	0	0	4	6	10	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1051	518	356	204	3610	2611	348	274	2737	2240	1264	9	3502	4249	5247	6162	15794	9274	2564	72	159	95	113	0	1156	715	1326	720	1188	771	145	99	0	0	525	0	0	1783	1070	6361	1334	4999	4455	0	0	0	0	0
kingdom	Main genome;Bacteria;Bacteria (superkingdom);PVC group (Planctobacteria)	PVC group (Planctobacteria)	7659	9104	12514	14441	11117	15118	12556	169	130	60	155	287	375	280	2327	3401	3209	5813	5345	6353	7606	5195	29	123	122	226	105	4207	5883	6010	6175	6177	5628	7170	5134	106	1751	159	21	216	176	4496	6023	3930	137	87	59	116	125	5	151	281	516	376	522	3	2	14	29	130	129	92	7177	2375	890	162	0	12668	11622	9643	9726	12562	11	86	47	40	189	11223	15150	9828	8387	10305	16609	199	263	119	161	131	71	6527	9192	102	322	7913	9446	293	128	23581	29648	68	503	35229	22172	1814	1579	40055	28497	710	562	28005	34575	1034	357	43254	33840	44982	58262	64915	66086	67946	53387	19241	14600	16178	15194	3756	2604	3290	5780	2650	3701	4649	3191	2286	1676	930	4203	223	61174	5901	67303	2760	49743	4039	11869	441	13279	1046	19190
kingdom	Main genome;Bacteria;Bacteria (superkingdom);Spirochaetes superphylum	Spirochaetes superphylum	37	12	61	10	19	27	0	46	0	1	8	55	0	9	0	54	11	0	3	0	59	0	9	33	60	39	9	2	18	0	0	0	0	0	0	25	17	36	84	22	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	51	0	0	0	52	61	112	74	127	0	0	0	0	0	0	0	0	0	8	0	0	20	61	25	118	25	2	15	33	0	15	3	7	51	94	22	0	143	18	0	0	49	20	0	0	0	3	0	55	34	312	306	0	0	0	0	0	0	0	0	0	0	109	1089	0	0	0	15	130	11	90	76	263	0	106	0	34	110	44	23	0
kingdom	Main genome;Bacteria;Bacteria (superkingdom);PAUC34f	PAUC34f	2	17	1	4	24	19	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	8	101	18	5	3	1	0	0	0	0	0	0	15	10	0	0	100	83	0	10	631	646	7	22	1795	728	248	132	2013	1365	134	103	1616	1189	35	213	2456	2439	2544	4074	2176	3388	3301	185	72	19	18	95	428	37	285	186	202	253	27	0	187	0	474	0	31	3164	812	3525	546	2752	145	18	0	173	0	464
kingdom	Main genome;Bacteria;Bacteria (superkingdom);Halanaerobiaeota superphylum	Halanaerobiaeota superphylum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	220	91	30	94	28	199	70	222	0	0	0	0	17	0	44	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
kingdom	Main genome;Bacteria;Bacteria (superkingdom);Dependentiae superphylum	Dependentiae superphylum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	11	0	0	61	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	252	0	0	0	0	0	0	0	0	0	0	0	194	0	0	0	0	0	0	0	0	0	1	0
kingdom	Main genome;Bacteria;Bacteria (superkingdom);Fusobacteria superphylum	Fusobacteria superphylum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	129	51	27	75	160	22	74	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	0	0	0	0	0	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
kingdom	Main genome;Bacteria;Bacteria (superkingdom);Thermotogota superphylum	Thermotogota superphylum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
kingdom	Main genome;Bacteria;Bacteria (superkingdom);Nitrospirae superphylum	Nitrospirae superphylum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	156	0	6	10	93	1	22	22	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	286	221	0	9	5796	4632	977	714	20554	14749	43	109	15136	17292	488	34	34092	26618	31749	39226	11587	10540	5358	84	0	71	0	2	167	147	52	5	245	151	0	643	246	0	321	0	0	10059	3073	34154	134	26574	1785	0	0	0	0	215
kingdom	Main genome;Bacteria;Bacteria (superkingdom);Nitrospinae Tectomicrobia group	Nitrospinae Tectomicrobia group	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	5	0	0	521	322	857	932	174	37	0	0	0	0	0	0	24	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	91	0	0	0	0	0	0
kingdom	Main genome;Bacteria;Bacteria (superkingdom);Hydrogenedentes superphylum	Hydrogenedentes superphylum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
kingdom	Main genome;Bacteria;Bacteria (superkingdom);Elusimicrobiota superphylum	Elusimicrobiota superphylum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	165	0	0	178	0	0	0	0	0	0	0	122	0	0	0	0	0	0	0	0	0	0	0	0
kingdom	Main genome;Bacteria;Bacteria (superkingdom);AncK6	AncK6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	46	0	0	67	50	0	6	92	135	11	0	86	204	170	169	239	279	12	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	62	0	111	0	146	57	0	0	0	0	0
kingdom	Main genome;Bacteria;Bacteria (superkingdom);Sumerlaeota superphylum	Sumerlaeota superphylum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	66	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0
kingdom	Main genome;Bacteria;Bacteria (superkingdom);Dadabacteria superphylum	Dadabacteria superphylum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	0	0	0	0	0	0	0	35	3	0	0	0	0	0	0	12	19	0	0	0	0	0	0	0	0	0	0	0	0	0
kingdom	Main genome;Bacteria;Bacteria (superkingdom);Margulisbacteria superphylum	Margulisbacteria superphylum	216	384	478	343	229	176	208	120	179	58	155	236	142	374	56	1	45	35	54	53	265	14	94	175	3	92	367	358	482	377	112	147	136	157	275	783	671	1154	209	381	168	447	525	298	77	30	31	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	385	2	0	81	131	9	93	59	333	129	162	158	434	220	112	110	119	87	160	307	227	273	452	229	258	220	311	196	362	541	344	510	253	532	518	171	126	501	155	241	92	720	357	99	30	494	283	76	6	654	946	921	925	564	278	606	25	423	253	333	247	279	378	183	295	753	274	330	610	436	557	509	923	646	930	762	1187	408	934	308	449	710	978	1930	460
kingdom	Main genome;Bacteria;Bacteria (superkingdom);Schekmanbacteria superphylum	Schekmanbacteria superphylum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	493	265	1	18	234	162	0	14	1	0	0	0	3	80	31	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	734	8	371	0	0	0	0	0	0
kingdom	Main genome;Bacteria;Bacteria (superkingdom);WPS-2	WPS-2	409	385	582	350	248	243	189	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	1	0	109	175	80	103	66	0	0	0	0	0	2	28	48	7	0	78	0	0	0	0	0	0	313	275	4	1	590	374	0	0	63	178	50	0	4	18	0	0	1	0	0	1	2	0	0	0	2	0	0	0	142	0	0	0	36	42	21	24	0	0	0	48	78	0	41	385	0	0	0	0	176	3	0	1	0	5	0	606	24	954	0	60
