Rank	Taxonpath	Taxon	001	002	003	004	005	006	007	008	009	010	011	012	013	014	015	016	017	018	019	020	021	022	023	024	025	026	027	028	029	030	031	032	033	034	035	036	037	038	039	040	041	042	043	044	045	046	047	048	049	050	051	052	053	054	055	056	057	058	059	060	061	062	063	064	065	066	067	068	069	070	071	072	073	074	075	076	077	078	079	080	081	082	083	084	085	086	087	088	089	090	091	092	093	094	095	096	097	098	099	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	100b	102b	104b	106b	108b	110b	112b	090b	092b	094b	096b	098b
root	root	root	521.264705882	573.326923077	580.666666667	600.027777778	540.113636364	580.18	531.6875	323.05	223.181818182	227.961538462	227.0	205.25	202.388888889	187.5	401.035714286	406.346153846	603.289473684	546.82	525.326923077	546.204545455	540.6	483.095238095	272.533333333	259.2	247.166666667	230.653846154	277.384615385	365.027777778	405.5	410.181818182	382.375	397.083333333	516.888888889	423.4	563.888888889	253.8	287.333333333	223.909090909	160.0	167.5625	146.083333333	426.5	472.045454545	454.227272727	257.461538462	275.777777778	226.409090909	178.285714286	251.25	145.333333333	192.0	275.0	191.5	233.166666667	188.9	141.25	153.1	195.083333333	179.45	211.0625	199.0625	227.055555556	488.041666667	199.5	221.25	124.5	172.6	563.416666667	482.568181818	509.390625	501.88	550.785714286	295.041666667	229.5	220.0625	244.625	217.035714286	827.016666667	742.837837838	798.5	743.680555556	696.724137931	747.986486486	348.818181818	342.533333333	391.446428571	372.133333333	359.2	348.78125	592.913793103	579.025	382.782608696	302.285714286	778.017857143	820.125	441.090909091	443.112903226	920.545454545	934.191176471	423.92	576.060606061	1340.06578947	1358.17391304	872.52173913	838.647058824	1595.61	1364.68627451	827.533333333	818.52173913	1329.60769231	1331.38793103	901.814814815	842.010416667	1089.55405405	964.5	1150.51428571	1165.71621622	1224.85714286	1354.11764706	1460.92045455	928.695121951	794.071428571	818.804878049	857.368421053	749.112903226	813.020833333	679.351851852	683.921052632	843.307692308	718.891304348	794.775862069	752.083333333	466.666666667	498.603448276	462.5	503.375	556.035714286	456.045454545	1268.44	888.515151515	1466.01136364	868.775862069	1315.01136364	930.036363636	614.571428571	386.272727273	744.0	440.5	842.125
meta	Main genome	Main genome	516.117647059	571.326923077	577.307692308	598.027777778	538.113636364	578.18	527.333333333	323.388888889	218.409090909	224.961538462	225.0	202.25	202.388888889	187.5	400.035714286	406.346153846	597.947368421	543.68	524.38	544.204545455	538.6	483.095238095	271.142857143	255.05	246.166666667	228.653846154	277.666666667	363.027777778	403.5	408.181818182	383.136363636	395.083333333	514.888888889	421.4	560.125	251.8	280.083333333	220.909090909	160.0	166.5625	147.1	423.5	468.045454545	451.227272727	253.115384615	273.777777778	224.409090909	178.285714286	251.25	145.333333333	192.0	273.0	190.5	231.909090909	188.9	141.25	153.1	195.083333333	178.45	210.0625	200.642857143	226.055555556	487.041666667	196.125	219.25	124.5	171.6	560.416666667	481.568181818	507.25	498.38	549.785714286	294.041666667	227.5	218.0625	244.625	216.5	823.016666667	738.837837838	791.52173913	736.7	694.724137931	743.986486486	347.818181818	340.533333333	390.446428571	369.321428571	355.45	347.78125	590.913793103	577.025	381.782608696	296.75	776.017857143	815.555555556	440.090909091	442.112903226	913.681818182	931.191176471	422.92	575.060606061	1339.06578947	1354.27173913	872.52173913	836.12745098	1588.89	1363.68627451	826.533333333	818.52173913	1328.3203125	1330.38793103	899.083333333	837.666666667	1089.55405405	962.28125	1150.51428571	1164.71621622	1220.72857143	1352.11764706	1455.13636364	924.2	788.071428571	813.2	853.368421053	744.112903226	811.020833333	677.351851852	681.921052632	840.173076923	717.891304348	792.775862069	752.083333333	466.181818182	496.603448276	459.5	501.045454545	552.035714286	454.045454545	1267.44	888.515151515	1463.0	867.775862069	1314.01136364	929.036363636	612.571428571	385.272727273	742.0	438.5	839.928571429
domain	Main genome;Bacteria	Bacteria	495.029411765	545.25	558.0	573.027777778	514.595238095	554.5	501.840909091	283.555555556	187.8	191.115384615	194.2	176.5625	175.0	167.0625	390.0	397.346153846	588.382352941	534.333333333	512.0	536.023809524	524.025	473.880952381	255.0	230.05	232.045454545	214.041666667	257.041666667	351.027777778	398.5625	398.045454545	378.136363636	389.9	494.722222222	414.921052632	547.428571429	229.0	258.333333333	207.681818182	145.1	163.9	136.4	408.5	446.05	434.5	232.846153846	255.361111111	210.055555556	178.285714286	248.25	143.333333333	189.0	269.0	183.888888889	225.8	186.9	138.25	154.125	188.333333333	177.388888889	206.0625	201.083333333	223.222222222	464.041666667	194.5	209.0625	122.5	167.9	534.875	454.204545455	482.120689655	472.92	521.851851852	270.041666667	199.5625	189.333333333	217.447368421	188.538461538	778.066666667	703.347222222	756.625	701.720588235	658.142857143	702.347222222	304.625	302.153846154	355.942307692	324.666666667	311.25	305.0	559.413793103	538.026315789	327.380952381	272.961538462	728.160714286	767.657142857	393.1	396.066666667	875.284090909	894.779411765	371.0	526.258064516	1236.34722222	1271.0125	769.047619048	733.43877551	1471.52173913	1255.89795918	684.409090909	682.284090909	1217.88888889	1213.73636364	764.020408163	666.390243902	983.014705882	857.461538462	1029.74242424	1052.85714286	1110.87878788	1243.66129032	1324.1744186	862.328947368	740.160714286	742.716216216	747.640625	685.142857143	658.586956522	532.769230769	542.533333333	697.52	575.225	656.962962963	603.5	400.409090909	438.22	401.375	448.045454545	498.681818182	405.181818182	1171.31521739	776.758064516	1350.21052632	720.017857143	1205.51219512	786.009803922	580.321428571	343.380952381	697.017857143	395.5	805.640625
domain	Main genome;Archaea	Archaea	None	None	20.0	None	25.0	None	26.25	None	31.5	None	None	26.0	None	21.0	None	None	13.25	10.0	12.5	10.0	None	None	18.0	None	14.5	15.0	None	None	8.0	None	None	8.0	None	6.5	13.5	None	None	None	15.5	9.0	None	None	22.0	20.0	None	None	18.0	None	None	None	None	None	None	7.0	None	None	2.0	None	2.0	None	3.0	None	None	5.0	None	None	None	27.0	None	26.1666666667	None	28.0	None	28.0	29.25	28.0	None	None	35.5	41.5	35.0	38.0	42.0	43.25	39.0	36.0	45.25	44.25	None	None	41.0	60.0	25.0	None	48.0	47.0	47.5	None	None	None	50.0	106.0	86.0	103.5	105.0	118.125	108.0	142.9	136.25	127.5	116.666666667	136.5	171.285714286	106.666666667	106.166666667	123.25	112.25	110.25	110.166666667	133.5	62.25	None	70.5	108.75	59.1666666667	153.0	147.5	140.125	150.5	142.666666667	136.25	150.5	None	58.5	None	None	55.0	None	96.125	118.25	114.333333333	152.0	108.5	145.125	None	43.0	None	None	37.0
superkingdom	Main genome;Bacteria;Bacteria (superkingdom)	Bacteria (superkingdom)	495.029411765	545.25	558.0	573.027777778	514.595238095	554.5	501.840909091	283.555555556	187.8	191.115384615	194.2	176.5625	175.0	167.0625	390.0	397.346153846	588.382352941	534.333333333	512.0	536.023809524	524.025	473.880952381	255.0	230.05	232.045454545	214.041666667	257.041666667	351.027777778	398.5625	398.045454545	378.136363636	389.9	494.722222222	414.921052632	547.428571429	229.0	258.333333333	207.681818182	145.1	163.9	136.4	408.5	446.05	434.5	232.846153846	255.361111111	210.055555556	178.285714286	248.25	143.333333333	189.0	269.0	183.888888889	225.8	186.9	138.25	154.125	188.333333333	177.388888889	206.0625	201.083333333	223.222222222	464.041666667	194.5	209.0625	122.5	167.9	534.875	454.204545455	482.120689655	472.92	521.851851852	270.041666667	199.5625	189.333333333	217.447368421	188.538461538	778.066666667	703.347222222	756.625	701.720588235	658.142857143	702.347222222	304.625	302.153846154	355.942307692	324.666666667	311.25	305.0	559.413793103	538.026315789	327.380952381	272.961538462	728.160714286	767.657142857	393.1	396.066666667	875.284090909	894.779411765	371.0	526.258064516	1236.34722222	1271.0125	769.047619048	733.43877551	1471.52173913	1255.89795918	684.409090909	682.284090909	1217.88888889	1213.73636364	764.020408163	666.390243902	983.014705882	857.461538462	1029.74242424	1052.85714286	1110.87878788	1243.66129032	1324.1744186	862.328947368	740.160714286	742.716216216	747.640625	685.142857143	658.586956522	532.769230769	542.533333333	697.52	575.225	656.962962963	603.5	400.409090909	438.22	401.375	448.045454545	498.681818182	405.181818182	1171.31521739	776.758064516	1350.21052632	720.017857143	1205.51219512	786.009803922	580.321428571	343.380952381	697.017857143	395.5	805.640625
superkingdom	Main genome;Archaea;Archaea (superkingdom)	Archaea (superkingdom)	None	None	20.0	None	25.0	None	26.25	None	31.5	None	None	26.0	None	21.0	None	None	13.25	10.0	12.5	10.0	None	None	18.0	None	14.5	15.0	None	None	8.0	None	None	8.0	None	6.5	13.5	None	None	None	15.5	9.0	None	None	22.0	20.0	None	None	18.0	None	None	None	None	None	None	7.0	None	None	2.0	None	2.0	None	3.0	None	None	5.0	None	None	None	27.0	None	26.1666666667	None	28.0	None	28.0	29.25	28.0	None	None	35.5	41.5	35.0	38.0	42.0	43.25	39.0	36.0	45.25	44.25	None	None	41.0	60.0	25.0	None	48.0	47.0	47.5	None	None	None	50.0	106.0	86.0	103.5	105.0	118.125	108.0	142.9	136.25	127.5	116.666666667	136.5	171.285714286	106.666666667	106.166666667	123.25	112.25	110.25	110.166666667	133.5	62.25	None	70.5	108.75	59.1666666667	153.0	147.5	140.125	150.5	142.666666667	136.25	150.5	None	58.5	None	None	55.0	None	96.125	118.25	114.333333333	152.0	108.5	145.125	None	43.0	None	None	37.0
kingdom	Main genome;Bacteria;Bacteria (superkingdom);Proteobacteria superphylum	Proteobacteria superphylum	296.666666667	320.777777778	332.764705882	346.722222222	288.038461538	314.0	278.461538462	166.571428571	105.1	101.555555556	100.333333333	89.0	112.166666667	78.125	197.8	206.071428571	326.083333333	266.941176471	270.884615385	269.0	271.884615385	223.5	145.333333333	122.125	131.0625	109.25	142.285714286	199.538461538	225.125	227.4	203.285714286	198.166666667	250.083333333	242.03125	293.48	127.083333333	134.166666667	122.333333333	76.1666666667	89.25	87.25	227.45	238.0	255.125	136.642857143	143.0625	128.6	81.0	None	93.5	114.5	155.571428571	111.5	124.4	109.5	89.1666666667	99.25	103.0	101.0	108.0	118.0	126.1	269.5625	109.25	99.0	88.0	110.666666667	289.961538462	226.653846154	257.333333333	249.736842105	285.5	161.888888889	107.125	90.0	119.666666667	81.0625	441.382352941	384.518518519	446.083333333	415.684210526	353.272727273	373.22	155.25	153.1	187.595238095	143.0	161.5	149.5625	304.083333333	310.166666667	191.142857143	146.388888889	379.53125	411.523809524	211.05	215.0	456.333333333	449.184210526	221.961538462	322.0	588.391304348	656.625	402.840909091	419.740740741	673.307692308	585.769230769	338.58	314.058823529	551.5625	561.351851852	377.78125	273.595238095	440.78125	379.333333333	458.115384615	474.025	471.8	533.5	572.921052632	433.520833333	404.225	401.043478261	405.53125	374.361111111	321.722222222	267.8	273.571428571	341.0625	285.0	323.666666667	298.041666667	191.785714286	234.28125	210.083333333	254.4	277.1	229.25	564.225806452	412.764705882	605.0	353.388888889	534.942307692	371.023809524	314.461538462	192.0	366.041666667	212.909090909	420.568181818
kingdom	Main genome;Bacteria;Bacteria (superkingdom);Terrabacteria	Terrabacteria	None	27.0	None	31.0	None	38.0	32.0	None	22.0	21.0	19.0	20.0	23.0	None	38.0	None	48.0	52.0	74.5	65.125	46.0	55.0	None	34.25	None	33.0	None	24.0	29.0	None	32.25	None	40.5	None	47.75	21.5	29.5	17.5	None	24.5	14.0	29.0	27.5	None	24.25	None	None	13.0	None	None	16.5	22.0	12.0	21.0	None	11.25	12.0	None	25.5	22.5	18.5	None	None	None	29.5	16.0	19.0	None	30.0	31.25	None	32.5	27.0	18.25	None	22.6666666667	15.0	43.5	43.5	42.0	39.25	None	46.0	26.25	35.25	None	None	22.5	25.5	None	None	None	28.0	44.25	None	32.6666666667	35.0	48.0	63.0	33.25	40.25	99.0	None	86.6666666667	102.5	120.166666667	98.3333333333	100.333333333	101.9	90.7857142857	99.6666666667	104.285714286	83.0	83.125	71.6666666667	94.0	96.125	96.0	114.0	125.25	67.0	44.0	44.0	45.0	None	80.1666666667	71.0833333333	69.25	93.0	84.0	83.125	80.25	None	45.0	44.5	None	48.5	None	89.0	90.5	113.0	104.125	87.0833333333	108.642857143	None	25.25	44.0	None	49.0
kingdom	Main genome;Bacteria;Bacteria (superkingdom);FCB group	FCB group	106.0	110.0	107.6	119.0	120.4	118.2	116.333333333	57.0	47.0	52.0	47.6666666667	50.0	40.25	54.25	131.0	113.333333333	149.083333333	168.666666667	140.0625	154.125	138.0	147.25	60.5	69.0	58.5	59.25	63.0	97.1666666667	130.0	104.0	106.5	112.0	111.0	110.666666667	176.166666667	75.0	78.0	50.5	40.0	42.0	34.25	115.125	129.166666667	118.6	63.6666666667	71.5	59.0	80.0	84.0	36.0	55.5	84.125	49.0	69.6666666667	None	35.25	None	62.5	44.1666666667	71.0	69.0	61.125	110.125	57.5	60.5	28.0	38.5	135.1	118.5	118.9	123.0	129.0625	62.0	45.0	61.0	58.1666666667	66.0	201.5	182.333333333	202.5625	167.555555556	175.0	185.333333333	103.5	98.0833333333	123.125	111.4	105.5	108.0	168.0	121.25	81.25	67.25	198.0	183.0	104.166666667	111.642857143	224.222222222	216.571428571	99.8	123.222222222	286.75	269.8	165.071428571	145.633333333	330.25	263.8	163.0	180.615384615	258.8	227.5	163.961538462	204.722222222	193.25	175.25	213.083333333	203.125	247.681818182	291.0	351.78125	219.25	192.0	191.785714286	193.0	178.5	178.285714286	137.0	142.333333333	196.5	153.666666667	175.0	188.785714286	135.166666667	123.666666667	123.0	117.25	145.125	114.25	273.75	159.785714286	298.5	181.45	276.166666667	176.333333333	None	86.3333333333	183.5625	101.0	195.5
kingdom	Main genome;Bacteria;Bacteria (superkingdom);Acidobacteria superphylum	Acidobacteria superphylum	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	9.0	None	None	4.0	None	None	13.0	14.5	22.5	None	None	3.5	None	None	17.0	None	None	None	None	None	None	None	None	None	7.5	None	None	5.0	7.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
