Rank	Taxonpath	Taxon	001	002	003	004	005	006	007	008	009	010	011	012	013	014	015	016	017	018	019	020	021	022	023	024	025	026	027	028	029	030	031	032	033	034	035	036	037	038	039	040	041	042	043	044	045	046	047	048	049	050	051	052	053	054	055	056	057	058	059	060	061	062	063	064	065	066	067	068	069	070	071	072	073	074	075	076	077	078	079	080	081	082	083	084	085	086	087	088	089	090	091	092	093	094	095	096	097	098	099	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	100b	102b	104b	106b	108b	110b	112b	090b	092b	094b	096b	098b
root	root	root	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
meta	Main genome	Main genome	0.999811706595	0.99938461786	0.999514517544	0.999281604587	0.999714693295	0.99971596934	0.998932079388	0.996518186672	0.999707524965	0.998522349464	0.99899952919	0.997777469093	1.0	1.0	0.999966620306	1.0	0.99995778374	0.999783774275	0.999979083874	0.999800337947	0.999920373824	1.0	0.999851702181	0.999956736926	0.999973000702	0.999922328287	0.999985866024	0.999243991917	0.999964079743	0.999469245011	0.999963517113	0.999887608661	0.999861439871	0.999488455368	0.999954031619	0.999491530493	0.998676203931	0.999253051558	1.0	0.99997150943	0.999981429553	0.999114227717	0.999578571606	0.998975910504	0.999830382888	0.999935432098	0.999688497125	1.0	1.0	1.0	1.0	0.99962776168	0.999809803912	0.999573060092	1.0	1.0	1.0	1.0	0.999923782424	0.99954617948	0.999961677014	0.999494183106	0.999216979188	0.999986541955	0.992090889937	1.0	0.999933991221	0.999578063696	0.999985688047	0.999993776256	0.998920913239	0.999965118786	0.999971327809	0.999692414164	0.999415490461	1.0	0.999979596625	0.998921219896	0.998713442131	0.998937479886	0.998959769549	0.998917736905	0.999176478623	0.999812396512	0.999776501569	0.999919221293	0.999752599834	0.999992255746	0.99992761566	0.9995483372	0.999830381158	0.999819825907	0.999327176638	0.999665231502	0.999374961485	0.999709345714	0.999963693574	0.99918695535	0.999649087408	0.999842668345	0.999855941748	0.99990513534	0.999607268553	1.0	0.999990998371	0.999993414359	0.999947064973	0.999765416532	1.0	0.999716013015	0.999901135115	0.999990803245	0.999897782911	1.0	0.99999786769	1.0	0.999994058724	0.998513361698	0.99947645272	0.998444468945	0.999018301662	0.998429886302	0.998994067111	0.998807447885	0.998348047446	0.99989325845	0.999835912283	0.999505269308	0.999973529042	0.9999551835	0.999897410177	1.0	0.999920442053	0.998939128644	0.999005120894	0.99904733854	0.99966904574	0.999711766286	0.99990659194	1.0	0.999982650903	0.999871490558	0.999769819603	0.999934994631	0.999377821901	0.999801167636	0.999760874643	0.999667079923	0.999398809428
domain	Main genome;Bacteria	Bacteria	0.98221284161	0.980215263086	0.988413152043	0.966761383681	0.971061121475	0.984817614445	0.968793465015	0.842215826002	0.909513795072	0.880195661312	0.900494350282	0.921706297592	0.952939991495	0.927942560295	0.957802503477	0.966437907807	0.981180929508	0.983339624647	0.977147040368	0.992287128823	0.956461245102	0.993492560966	0.881732489272	0.848302356972	0.872068326224	0.88781097812	0.977117092924	0.995546336995	0.997709085829	0.997811149969	0.99965949305	0.999693830491	0.999334141601	0.99886452593	0.998996357006	0.975723073549	0.979909447899	0.982082346511	0.987070170534	0.984719557826	0.987697078869	0.96448606754	0.962138731394	0.968715885344	0.86256550345	0.867063912999	0.891664351443	1.0	0.997249440326	0.999946998527	0.997038136642	0.996613361166	0.997750119452	0.998324724925	0.999679608207	0.999523526519	0.997405026445	0.99884769869	0.999669723838	0.998080987513	0.997758105312	0.999448199752	0.973171234288	0.994065002355	0.97173465584	0.99931119989	0.999922989758	0.945959274927	0.963752594041	0.984334837405	0.977724246318	0.976505917122	0.933776796552	0.939098004537	0.902338996368	0.930689446179	0.912816379829	0.946836550236	0.940670056783	0.940820694623	0.966324847351	0.953290634817	0.935717126433	0.851662737869	0.889980468181	0.883371703219	0.861694776444	0.90127625302	0.910822492917	0.932361948956	0.952035945348	0.954483519701	0.932272732205	0.90821763672	0.923996196949	0.928719000149	0.924942514825	0.895076812506	0.931343951364	0.844766100273	0.863406584772	0.861406684796	0.852020804697	0.63639021253	0.569227030092	0.816886242925	0.773504254653	0.39785356127	0.371917143913	0.811634802364	0.699604540461	0.376699100557	0.22394741953	0.763032302234	0.743363718748	0.784107279201	0.762851971117	0.795425936537	0.817622799002	0.83159973139	0.932133791459	0.925405522469	0.898101717034	0.941554345925	0.930401343227	0.397698487965	0.393014808355	0.311703792793	0.514868957728	0.36854494977	0.384730834701	0.783736097878	0.921136376786	0.91566072716	0.893248378675	0.914439219589	0.918701899732	0.850203961992	0.858793701628	0.635318600733	0.806970095941	0.406296458683	0.801613939297	0.379429611514	0.933460942175	0.958415219609	0.9095049549	0.932554068876	0.9038041407
domain	Main genome;Archaea	Archaea	0.0175988649849	0.0191693547738	0.0111013655003	0.0325202209066	0.0286535718205	0.0148983548944	0.030138614373	0.154302360669	0.0901937298923	0.118326688152	0.0985051789077	0.0760711715011	0.0470600085055	0.0720574397051	0.0421641168289	0.0335620921933	0.0187768542319	0.0164441496282	0.0228320435055	0.00751320912382	0.043459128722	0.00650743903444	0.118119212909	0.151654379954	0.127904674478	0.112111350167	0.0228687731002	0.00369765492108	0.00225499391351	0.00165809504217	0.000304024062491	0.000193778170502	0.000527298269923	0.000623929437843	0.000957674612812	0.0237684569446	0.0187667560322	0.0171707050465	0.012929829466	0.015251951604	0.0122843506843	0.0346281601772	0.0374398402114	0.0302600251604	0.137264879438	0.132871519098	0.108024145682	0.0	0.00275055967421	5.3001473441e-05	0.00296186335843	0.00301440051383	0.00205968446005	0.00124833516639	0.000320391793393	0.000476473481433	0.0025949735548	0.00115230131033	0.00025405858591	0.00146519196608	0.00220357170231	4.59833540258e-05	0.0260457449001	0.0059215396003	0.0203562340967	0.000688800110208	1.10014631946e-05	0.0536187887688	0.0362330940057	0.0156589388517	0.0211966669204	0.0234592016642	0.0661945312575	0.0605944096274	0.0970764940926	0.0693105538212	0.0871632167961	0.05208466966	0.0580433853481	0.0581167852637	0.0326349221981	0.0456271020879	0.06345935219	0.148149658643	0.109796033389	0.116547518074	0.13805782339	0.098716002726	0.0891051227432	0.0671863882444	0.0477944358097	0.0453363062059	0.0670544444324	0.0914475947813	0.0753787645365	0.0709903455644	0.0750211787486	0.104110142844	0.0683051360444	0.155076568072	0.136449356976	0.138498450544	0.147586463856	0.36360978747	0.430763968278	0.183107171434	0.226442810321	0.601911855262	0.628082856087	0.188081210651	0.300296594654	0.623291702687	0.775950363382	0.236967697766	0.256634148942	0.215892720799	0.237142087606	0.203087425161	0.181853653718	0.166844737554	0.0668845102027	0.0730243638332	0.100892350077	0.0572531019606	0.0679467042192	0.602194770485	0.606821103928	0.687801476515	0.485104571314	0.63141023373	0.615166575476	0.216263902122	0.0787840652664	0.0832784014832	0.105756742219	0.0846081189507	0.0809671460078	0.149507804294	0.141112890312	0.364681399267	0.193012554963	0.593575031875	0.198155880306	0.620505383117	0.0659168797258	0.0413859480269	0.0902559197429	0.0671130110476	0.0955946687279
superkingdom	Main genome;Bacteria;Bacteria (superkingdom)	Bacteria (superkingdom)	0.98221284161	0.980215263086	0.988413152043	0.966761383681	0.971061121475	0.984817614445	0.968793465015	0.842215826002	0.909513795072	0.880195661312	0.900494350282	0.921706297592	0.952939991495	0.927942560295	0.957802503477	0.966437907807	0.981180929508	0.983339624647	0.977147040368	0.992287128823	0.956461245102	0.993492560966	0.881732489272	0.848302356972	0.872068326224	0.88781097812	0.977117092924	0.995546336995	0.997709085829	0.997811149969	0.99965949305	0.999693830491	0.999334141601	0.99886452593	0.998996357006	0.975723073549	0.979909447899	0.982082346511	0.987070170534	0.984719557826	0.987697078869	0.96448606754	0.962138731394	0.968715885344	0.86256550345	0.867063912999	0.891664351443	1.0	0.997249440326	0.999946998527	0.997038136642	0.996613361166	0.997750119452	0.998324724925	0.999679608207	0.999523526519	0.997405026445	0.99884769869	0.999669723838	0.998080987513	0.997758105312	0.999448199752	0.973171234288	0.994065002355	0.97173465584	0.99931119989	0.999922989758	0.945959274927	0.963752594041	0.984334837405	0.977724246318	0.976505917122	0.933776796552	0.939098004537	0.902338996368	0.930689446179	0.912816379829	0.946836550236	0.940670056783	0.940820694623	0.966324847351	0.953290634817	0.935717126433	0.851662737869	0.889980468181	0.883371703219	0.861694776444	0.90127625302	0.910822492917	0.932361948956	0.952035945348	0.954483519701	0.932272732205	0.90821763672	0.923996196949	0.928719000149	0.924942514825	0.895076812506	0.931343951364	0.844766100273	0.863406584772	0.861406684796	0.852020804697	0.63639021253	0.569227030092	0.816886242925	0.773504254653	0.39785356127	0.371917143913	0.811634802364	0.699604540461	0.376699100557	0.22394741953	0.763032302234	0.743363718748	0.784107279201	0.762851971117	0.795425936537	0.817622799002	0.83159973139	0.932133791459	0.925405522469	0.898101717034	0.941554345925	0.930401343227	0.397698487965	0.393014808355	0.311703792793	0.514868957728	0.36854494977	0.384730834701	0.783736097878	0.921136376786	0.91566072716	0.893248378675	0.914439219589	0.918701899732	0.850203961992	0.858793701628	0.635318600733	0.806970095941	0.406296458683	0.801613939297	0.379429611514	0.933460942175	0.958415219609	0.9095049549	0.932554068876	0.9038041407
superkingdom	Main genome;Archaea;Archaea (superkingdom)	Archaea (superkingdom)	0.0175988649849	0.0191693547738	0.0111013655003	0.0325202209066	0.0286535718205	0.0148983548944	0.030138614373	0.154302360669	0.0901937298923	0.118326688152	0.0985051789077	0.0760711715011	0.0470600085055	0.0720574397051	0.0421641168289	0.0335620921933	0.0187768542319	0.0164441496282	0.0228320435055	0.00751320912382	0.043459128722	0.00650743903444	0.118119212909	0.151654379954	0.127904674478	0.112111350167	0.0228687731002	0.00369765492108	0.00225499391351	0.00165809504217	0.000304024062491	0.000193778170502	0.000527298269923	0.000623929437843	0.000957674612812	0.0237684569446	0.0187667560322	0.0171707050465	0.012929829466	0.015251951604	0.0122843506843	0.0346281601772	0.0374398402114	0.0302600251604	0.137264879438	0.132871519098	0.108024145682	0.0	0.00275055967421	5.3001473441e-05	0.00296186335843	0.00301440051383	0.00205968446005	0.00124833516639	0.000320391793393	0.000476473481433	0.0025949735548	0.00115230131033	0.00025405858591	0.00146519196608	0.00220357170231	4.59833540258e-05	0.0260457449001	0.0059215396003	0.0203562340967	0.000688800110208	1.10014631946e-05	0.0536187887688	0.0362330940057	0.0156589388517	0.0211966669204	0.0234592016642	0.0661945312575	0.0605944096274	0.0970764940926	0.0693105538212	0.0871632167961	0.05208466966	0.0580433853481	0.0581167852637	0.0326349221981	0.0456271020879	0.06345935219	0.148149658643	0.109796033389	0.116547518074	0.13805782339	0.098716002726	0.0891051227432	0.0671863882444	0.0477944358097	0.0453363062059	0.0670544444324	0.0914475947813	0.0753787645365	0.0709903455644	0.0750211787486	0.104110142844	0.0683051360444	0.155076568072	0.136449356976	0.138498450544	0.147586463856	0.36360978747	0.430763968278	0.183107171434	0.226442810321	0.601911855262	0.628082856087	0.188081210651	0.300296594654	0.623291702687	0.775950363382	0.236967697766	0.256634148942	0.215892720799	0.237142087606	0.203087425161	0.181853653718	0.166844737554	0.0668845102027	0.0730243638332	0.100892350077	0.0572531019606	0.0679467042192	0.602194770485	0.606821103928	0.687801476515	0.485104571314	0.63141023373	0.615166575476	0.216263902122	0.0787840652664	0.0832784014832	0.105756742219	0.0846081189507	0.0809671460078	0.149507804294	0.141112890312	0.364681399267	0.193012554963	0.593575031875	0.198155880306	0.620505383117	0.0659168797258	0.0413859480269	0.0902559197429	0.0671130110476	0.0955946687279
kingdom	Main genome;Bacteria;Bacteria (superkingdom);Proteobacteria superphylum	Proteobacteria superphylum	0.344655751488	0.370781816865	0.361312226714	0.353466578578	0.298163063755	0.309097312691	0.287511788035	0.393653814907	0.547694321806	0.37880081016	0.476565442561	0.482327090884	0.499552342369	0.488727328976	0.321246175243	0.299900753848	0.261238906505	0.23498239043	0.300259359967	0.158254362061	0.370433543574	0.186758401029	0.35647088265	0.367043920673	0.223626185719	0.251104880114	0.571486116902	0.361260401169	0.32479096406	0.319066035795	0.21295872164	0.210148550346	0.191008987164	0.252009362817	0.247252431536	0.607930130308	0.59907890492	0.620395336127	0.651104277327	0.653668635682	0.714284387825	0.369191732792	0.347894451665	0.331986941559	0.449610327004	0.459622001052	0.468121469283	0.746101903008	0.724600915728	0.676685711863	0.858572791857	0.765270894613	0.899567187928	0.679057205307	0.770496492854	0.7798128945	0.684144030322	0.714163429249	0.752699372475	0.716893793032	0.856595385912	0.819331402032	0.336441376468	0.550366731714	0.605824865075	0.816825090692	0.82450465912	0.273365407799	0.214488466951	0.159178465847	0.176320985775	0.178008346123	0.549120241611	0.511438348264	0.466678165215	0.441593193592	0.432949409832	0.30948743367	0.291534013101	0.304279197593	0.260063767973	0.311664021135	0.315754164809	0.409383437059	0.474584341506	0.431342138212	0.405685085182	0.40234496004	0.465224494861	0.313361175561	0.364268579321	0.566726349335	0.493548492116	0.312301812399	0.294793693273	0.509917595582	0.468461817742	0.43306531309	0.419542322252	0.451795328998	0.472825375206	0.363201207943	0.376186376247	0.322331686497	0.338866334807	0.356151482922	0.344527621056	0.270895033673	0.26305883983	0.367763145228	0.332651043574	0.237276288925	0.137717083542	0.343982075061	0.418278159817	0.337861779437	0.306676806445	0.326564128478	0.32535499963	0.296464975494	0.337474230419	0.388981050352	0.344113631146	0.363095017252	0.396828792721	0.238134239815	0.252816464517	0.182638791151	0.218714084976	0.214081344306	0.249133685938	0.385298532003	0.407896005709	0.530299206921	0.57594098071	0.53864778948	0.523084059669	0.471288990938	0.360074726448	0.3343738645	0.350931742871	0.283013067646	0.360687329372	0.243364408888	0.316005276614	0.581688403751	0.31495033978	0.526522292369	0.438616832262
kingdom	Main genome;Bacteria;Bacteria (superkingdom);Terrabacteria	Terrabacteria	0.486633357709	0.444434612631	0.449275174693	0.425796809555	0.467771315703	0.448900990699	0.458000146408	0.323901487895	0.309898190833	0.431410264576	0.344915254237	0.334377249365	0.365635561922	0.248424146332	0.268038942976	0.25866503368	0.254906467531	0.301576248887	0.296063585024	0.364782571721	0.269559751063	0.373485422003	0.224782419294	0.109602671927	0.07397807657	0.0932837269995	0.196320926058	0.345170998367	0.345309413103	0.373466364945	0.397967497801	0.405325799238	0.407697784962	0.365572271181	0.377496178878	0.11633981715	0.134871458289	0.104472581527	0.108011502057	0.084094664666	0.105582276365	0.320437350065	0.307639186466	0.34927170082	0.180249426426	0.178032154815	0.12877697236	0.0547984448537	0.0772350406678	0.00143633993025	0.00481391156823	0.0229182024539	0.0107762319836	0.0265398840765	0.0318560983145	0.00612242806787	0.0144426690449	0.0315401330085	0.0474327379894	0.0180879893158	0.0320571778953	0.0520071734032	0.286472285184	0.20399703923	0.185361663506	0.0465628874501	0.0140488684995	0.342338294281	0.439791999618	0.536729422748	0.551686464849	0.506494247771	0.246733759593	0.296794699271	0.173723900691	0.218120690247	0.164400191792	0.368802845647	0.429614381536	0.425156185348	0.498430421509	0.429697299337	0.353146052521	0.15875333404	0.202450708879	0.14504624581	0.120987211971	0.128337773372	0.167176803921	0.424210363496	0.426006376284	0.209463644246	0.301088454568	0.382338171978	0.42452439851	0.263937658583	0.266803824277	0.106127032612	0.100567162477	0.266983078106	0.191951072579	0.107378889451	0.167540242386	0.123152181327	0.117822325841	0.0698868257538	0.0505838292316	0.0344739954452	0.0331955477554	0.0385259631491	0.0303075796412	0.0237644159141	0.0158538704501	0.0391162009087	0.0349464257157	0.0511439309515	0.0469004360897	0.0575389932368	0.0560590719384	0.0755053972518	0.15913330061	0.310772062805	0.333900240457	0.321562402277	0.299176731842	0.0668243157251	0.0672579818559	0.0420691684686	0.120987719681	0.0728315300589	0.0464997872211	0.194872129986	0.190741383633	0.182408074982	0.18014964731	0.200857192188	0.176417610022	0.250836610567	0.107087892536	0.113142624341	0.0679062917463	0.0319711332517	0.0379476473422	0.022698081445	0.417291111353	0.195388818129	0.375668716842	0.249585892359	0.104472965211
kingdom	Main genome;Bacteria;Bacteria (superkingdom);FCB group	FCB group	0.113829931645	0.124431877599	0.132840946238	0.138412987563	0.153661801822	0.167377374496	0.167082208356	0.119716348274	0.047158117575	0.0676662038393	0.0750470809793	0.0972483552008	0.0813617745149	0.181664668652	0.352717663421	0.390286546867	0.447839465636	0.423971003764	0.357084291989	0.441245743316	0.281189363619	0.409301832987	0.299246461707	0.368713875333	0.572745108627	0.540649490862	0.205486809467	0.262911503438	0.299942128475	0.275955564699	0.359563178227	0.354834959132	0.373238650578	0.349183466257	0.349049412179	0.242280734988	0.218392978319	0.244917106941	0.22481928192	0.241068206424	0.16334565173	0.251942240266	0.28324946082	0.265473108553	0.230795325709	0.228321326778	0.294008200103	0.197503580929	0.193832896469	0.321798445997	0.132541618068	0.206300316038	0.0845815918021	0.290936344188	0.194214639616	0.213460119682	0.29880594057	0.249456772239	0.198775437616	0.260869001465	0.106633708899	0.123879155746	0.275994230373	0.203068434157	0.1598839565	0.128346420535	0.161369462138	0.259414111304	0.252267251867	0.227739225144	0.205192153562	0.251706008448	0.134004262599	0.127238007356	0.258688590565	0.267865106865	0.307509462065	0.20148696717	0.151630657584	0.159939926747	0.155105130983	0.153920012432	0.198681562361	0.279382376691	0.208183929491	0.303429056101	0.329673517092	0.367503562357	0.274760614646	0.150366589327	0.127286825462	0.174577435447	0.128813117885	0.170931865311	0.15935400949	0.14838294095	0.18440033886	0.243154253886	0.274194326621	0.122841060066	0.18981639121	0.21511747407	0.165244273925	0.155260619172	0.0879009100647	0.168068859466	0.16686884906	0.0794358267601	0.0629272122668	0.171942085908	0.131640424753	0.0889142310593	0.0639061238258	0.169343374619	0.143817900741	0.181373409011	0.191616066796	0.194907530646	0.212609586842	0.298487566777	0.284672884089	0.182332430969	0.174304305272	0.212634692136	0.19215187131	0.0799535263713	0.0641380674513	0.0759368962473	0.159251489543	0.0695575667943	0.0790777554867	0.190325219019	0.310618334008	0.194826964672	0.132246765003	0.169242644296	0.20461111518	0.124949314834	0.219789164665	0.155611711206	0.169072729341	0.0782244530789	0.173178630694	0.0891828825174	0.155809715498	0.177626460265	0.175976799279	0.150296053774	0.251265452476
kingdom	Main genome;Bacteria;Bacteria (superkingdom);Acidobacteria superphylum	Acidobacteria superphylum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.09945283897e-05	7.11148295336e-05	0.0	0.000238878528173	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000175149392129	0.00282618935469	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.33249752172e-05	2.61672786902e-05	5.10826977794e-05	2.46208390782e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00415428155831	0.00260813961099	0.00346907553035	0.00183633237616	0.0118870825938	0.0115177795521	0.00340146028209	0.00316368002956	0.0131741080883	0.00820212376419	0.0116246988063	9.19953797876e-05	0.00871849131761	0.0090601844448	0.0129651273409	0.0122033817745	0.0356296894528	0.0229027239276	0.00513966704419	0.000201949372414	0.000344342176502	0.000286977851352	0.000299463086537	0.0	0.0023729467647	0.00160716051825	0.00282764179792	0.00158825748301	0.00280221063283	0.00146475469633	0.000305656972773	0.000238673841347	0.0	0.0	0.00106641208194	0.0	0.0	0.00396539453785	0.00294541891014	0.0122619559372	0.00336140382706	0.013379904716	0.00998616954745	0.0	0.0	0.0	0.0	0.0
