OTU	001	002	003	004	005	006	007	008	009	010	011	012	013	014	015	016	017	018	019	020	021	022	023	024	025	026	027	028	029	030	031	032	033	034	035	036	037	038	039	040	041	042	043	044	045	046	047	048	049	050	051	052	053	054	055	056	057	058	059	060	061	062	063	064	065	066	067	068	069	070	071	072	073	074	075	076	077	078	079	080	081	082	083	084	085	086	087	088	089	090	091	092	093	094	095	096	097	098	099	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	100b	102b	104b	106b	108b	110b	112b	090b	092b	094b	096b	098b	classification
SWARM_3782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	12	0	2	2	2	17	76	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	39	17	39	3	0	0	0	0	0	0	1	5	16	18	29	42	0	0	0	0	0	0	0	0	0	0	0	0	Main genome;Bacteria;Bacteria (superkingdom);Proteobacteria superphylum;Bdellovibrionota;Oligoflexia;Oligoflexales
SWARM_12757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Main genome;Bacteria;Bacteria (superkingdom);Terrabacteria;Firmicutes;Bacilli;Lactobacillales
SWARM_3788	36	69	23	13	29	3	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	2	0	7	1	0	0	0	0	0	1	32	23	24	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	8	4	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	Main genome;Bacteria;Bacteria (superkingdom);Proteobacteria superphylum;Desulfobacterota;Desulfuromonadia;PB19
SWARM_1997	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	122	0	0	73	19	0	0	16	0	0	0	0	0	0	0	1	0	341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139	0	169	0	20	0	0	0	0	0	0	Main genome;Bacteria;Bacteria (superkingdom);PVC group (Planctobacteria);Planctomycetota;OM190
SWARM_219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	6	0	6	4	7	17	1214	705	1103	790	871	404	1928	870	49	104	395	89	0	0	0	0	0	0	1	5	0	0	0	0	0	0	164	0	0	88	0	0	0	0	0	0	0	0	118	0	15	56	279	0	6845	86	1388	0	0	0	8	13	34	2055	4027	688	Main genome;Bacteria;Bacteria (superkingdom);FCB group;Marinimicrobia (SAR406 clade)
SWARM_9748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Main genome;Bacteria;Bacteria (superkingdom);PVC group (Planctobacteria);Latescibacterota
SWARM_211	93	104	54	178	175	194	107	0	0	0	11	5	0	0	29	32	47	47	170	64	210	0	0	54	7	20	8	2328	2444	2860	1236	1240	734	1506	1008	572	32	242	5	16	5	1440	1432	1402	147	231	53	0	0	0	0	0	1	0	0	0	0	0	0	1	123	0	18	0	8	0	0	75	51	22	20	0	0	0	0	5	0	192	162	116	154	40	88	0	0	3	0	0	0	84	159	0	14	188	102	0	5	430	697	0	0	130	44	10	9	0	1	0	1	0	2	0	0	57	0	0	0	0	0	437	379	109	107	62	28	0	111	10	140	0	0	0	0	0	0	0	0	0	221	65	0	0	0	0	163	0	300	0	318	Main genome;Bacteria;Bacteria (superkingdom);Proteobacteria superphylum;SAR324 clade(Marine group B)
SWARM_210	228	341	665	509	340	521	336	3	14	1	0	21	24	3	0	3	0	0	0	9	3	0	0	0	0	0	0	63	16	205	108	95	18	51	41	0	1	0	0	0	0	38	7	24	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	302	0	1	0	0	275	481	831	676	1383	58	0	3	13	9	455	974	262	393	373	816	26	15	0	54	42	2	357	656	80	3	544	890	71	104	788	1463	18	151	13	1	0	0	0	0	0	0	0	0	8	1	3	0	0	284	3	74	850	949	1125	479	961	724	39	367	0	110	0	0	100	177	228	32	105	8	64	27	0	6	0	0	13	598	223	846	195	551	Main genome;Bacteria;Bacteria (superkingdom);Terrabacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Microtrichaceae;Sva0996 marine group
SWARM_213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	310	315	29	81	1273	1377	297	138	3864	3542	3914	5594	2117	1183	108	0	0	147	0	0	364	303	878	1095	1405	514	0	0	0	0	279	0	0	0	0	456	109	2546	1195	0	0	0	0	0	Main genome;Bacteria;Bacteria (superkingdom);FCB group;Marinimicrobia (SAR406 clade)
SWARM_212	137	194	329	164	102	144	78	817	507	388	477	1351	1626	1113	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	154	0	0	0	1	10	0	0	0	0	0	7	0	0	116	0	0	51	86	0	5	0	10	3	180	0	15	37	64	83	57	40	1531	2122	1525	716	2226	2	23	80	29	21	22	373	326	418	545	799	471	66	66	253	738	0	0	35	11	0	0	0	0	0	52	0	0	0	0	7	7	0	0	8	0	0	0	0	0	111	291	244	147	56	63	16	28	0	259	0	124	0	0	853	1977	783	928	987	705	0	0	0	0	29	0	36	117	935	0	96	0	Main genome;Bacteria;Bacteria (superkingdom);Proteobacteria superphylum;Proteobacteria;Alphaproteobacteria;Parvibaculales;PS1 clade
SWARM_215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	211	59	228	84	86	195	314	369	290	159	286	952	846	772	807	504	660	109	626	721	1617	1363	2795	1199	1451	1896	590	781	434	1650	1922	1844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	231	0	0	0	0	0	0	0	0	0	53	0	0	140	0	0	0	0	0	0	0	227	0	0	0	0	0	0	0	0	0	0	0	0	Main genome;Bacteria;Bacteria (superkingdom);Proteobacteria superphylum;Proteobacteria;Gammaproteobacteria;Thiotrichales;Thiotrichaceae
SWARM_214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1756	2412	2333	2781	2116	3806	669	3070	12	0	0	0	0	1269	2165	1591	2840	2218	2371	2168	2636	24	1	0	0	16	6	119	236	160	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	218	0	0	0	0	0	76	0	0	0	0	0	405	0	1373	0	255	0	0	63	0	0	976	0	0	0	0	0	0	0	0	0	0	0	0	Main genome;Bacteria;Bacteria (superkingdom);FCB group;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;NS4 marine group
SWARM_217	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8	239	291	587	454	175	532	664	775	80	728	89	289	269	229	51	0	0	0	1	0	1584	1546	1736	1210	1249	2587	255	0	0	0	0	0	0	6	11	458	2114	282	2550	0	0	0	0	0	Main genome;Archaea;Archaea (superkingdom);TACK;Thaumarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae
SWARM_189	0	0	0	4	0	2	1	0	0	0	0	0	0	0	560	685	1222	1272	866	1028	654	941	0	24	0	0	0	1028	1825	1655	1632	1330	1746	2051	1671	0	0	0	0	0	0	557	1257	1023	0	0	3	15	35	0	0	0	0	3	0	0	0	0	2	0	1	0	1	2	0	0	0	1	0	1	1	3	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	155	0	0	0	0	0	2	3	3	2	0	0	0	0	68	1347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	Main genome;Bacteria;Bacteria (superkingdom);FCB group;Bacteroidota;Bacteroidia;Flavobacteriales;Crocinitomicaceae;Fluviicola
SWARM_5942	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	11	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Main genome;Bacteria;Bacteria (superkingdom);Terrabacteria;Actinobacteriota;Actinobacteria;PeM15
SWARM_7316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Main genome;Bacteria;Bacteria (superkingdom);Proteobacteria superphylum;Proteobacteria;Gammaproteobacteria;Coxiellales
